pollster,client,dates,sample_size,labour,conservative,liberal_democrat,others,lead,year,pollster_client
YouGov,The Sun,7–8 Jan,1835,34%,41%,15%,10%,7%,2009,
ComRes,The Independent,19–21 Dec,1000,34%,39%,16%,11%,5%,2008,
YouGov,The Daily Telegraph,16–18 Dec,2241,35%,42%,14%,9%,7%,2008,
Ipsos MORI,,12–14 Dec,1000,35%,39%,15%,11%,4%,2008,
ICM[permanent dead link],The Guardian,12–14 Dec,1003,33%,38%,19%,10%,5%,2008,
YouGov,The Sunday Times,11–12 Dec,2098,35%,41%,15%,10%,6%,2008,
ComRes,The Independent on Sunday,10–11 Dec,1003,36%,37%,14%,12%,1%,2008,
Ipsos MORI,,10–11 Dec,1007,36%,41%,11%,12%,5%,2008,
Populus,The Times,5–7 Dec,1505,35%,39%,17%,9%,4%,2008,
ComRes,The Independent,28–30 Nov,1005,36%,37%,17%,10%,1%,2008,
Ipsos MORI,The Observer,27–28 Nov,1017,32%,43%,15%,10%,11%,2008,
ICM,The Guardian,25–26 Nov,1027,30%,45%,18%,7%,15%,2008,
YouGov,The Daily Telegraph,24–25 Nov,1556,36%,40%,14%,10%,4%,2008,
ICM[permanent dead link],Sunday Mirror,19–20 Nov,1010,31%,42%,19%,8%,11%,2008,
Ipsos MORI,,14–16 Nov,1002,37%,40%,12%,11%,3%,2008,
YouGov,The Sunday Times,13–14 Nov,2080,36%,41%,14%,10%,5%,2008,
ComRes,The Independent on Sunday,12–13 Nov,1010,32%,43%,12%,13%,11%,2008,
Populus,The Times,7–9 Nov,1503,35%,41%,16%,8%,6%,2008,
ICM[permanent dead link],The Sunday Telegraph,5–6 Nov,1005,30%,43%,18%,9%,13%,2008,
,,6 Nov,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,2008,
BPIX[15],,2 NovP,?,31%,45%,13%,11%,14%,2008,
YouGov,The Daily Telegraph,27–29 Oct,2271,33%,42%,15%,10%,9%,2008,
ComRes,The Independent,24–26 Oct,1001,31%,39%,16%,14%,8%,2008,
Ipsos MORI,,17–19 Oct,1004,30%,45%,14%,11%,15%,2008,
ICM[permanent dead link],The Guardian,17–19 Oct,1007,30%,42%,21%,7%,12%,2008,
BPIX[15],,16–18 Oct,2046,30%,46%,13%,11%,16%,2008,
YouGov,The Daily Mirror,15–17 Oct,2029,34%,42%,14%,10%,8%,2008,
ComRes,The Independent on Sunday,15–16 Oct,1005,31%,40%,16%,14%,9%,2008,
YouGov,The Sunday Times,9–10 Oct,1941,33%,43%,14%,10%,10%,2008,
Populus,The Times,3–5 Oct,1503,30%,45%,15%,10%,15%,2008,
YouGov,The Daily Telegraph,1–3 Oct,2048,31%,45%,15%,9%,14%,2008,
ComRes,The Independent,26–28 Sep,1017,29%,41%,18%,12%,12%,2008,
BPIX[15],,24–26 Sep,2020,31%,43%,17%,9%,12%,2008,
ICM,The Guardian,24–25 Sep,1012,32%,41%,18%,9%,9%,2008,
YouGov,The Sun,23–24 Sep,1536,31%,41%,16%,12%,10%,2008,
ComRes,The Independent on Sunday,17–18 Sep,1010,27%,39%,21%,12%,12%,2008,
YouGov,The Daily Telegraph,17–19 Sep,2227,24%,44%,20%,12%,20%,2008,
Ipsos MORI,,12–14 Sep,1017,24%,52%,,12%,28%,2008,
YouGov,The Sunday Times,10–12 Sep,2161,27%,46%,16%,11%,19%,2008,
ComRes,The Independent,3–4 Sep,1013,25%,44%,17%,14%,19%,2008,
Populus,The Times,29–31 Aug,1506,27%,43%,18%,12%,16%,2008,
YouGov,The Daily Telegraph,26–27 Aug,2267,26%,45%,16%,13%,19%,2008,
ComRes,The Independent,20–21 Aug,1014,25%,46%,16%,13%,21%,2008,
ICM,The Guardian,15–17 Aug,1002,29%,44%,19%,8%,15%,2008,
Ipsos MORI,,15–17 Aug,1005,24%,48%,16%,12%,24%,2008,
YouGov,The Sunday Times,14–15 Aug,1745,25%,45%,18%,12%,20%,2008,
YouGov,News of the World,6–8 Aug,2031,26%,46%,17%,11%,20%,2008,
BPIX[15],,31 Jul – 2 Aug,1333,24%,47%,16%,13%,23%,2008,
ICM,Sunday Express,30 Jul – 1 Aug,1001,29%,45%,16%,10%,16%,2008,
YouGov,The Daily Telegraph,29–31 July,1949,25%,47%,16%,12%,22%,2008,
Populus,The Times,25–27 July,1002,27%,43%,18%,12%,16%,2008,
YouGov,The Daily Telegraph,23–25 July,2120,26%,45%,17%,12%,19%,2008,
ComRes,The Independent,23–24 July,1021,24%,46%,18%,12%,22%,2008,
,,24 July,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,2008,
Ipsos MORI,,18–20 July,1016,27%,47%,15%,11%,20%,2008,
ICM[permanent dead link],The Guardian,18–20 July,1007,28%,43%,19%,10%,15%,2008,
ComRes,The Independent on Sunday,16–17 July,1016,24%,45%,16%,15%,21%,2008,
YouGov,The Sunday Times,10–11 July,1832,25%,47%,16%,12%,22%,2008,
Populus,The Times,4–6 July,1507,28%,41%,19%,12%,13%,2008,
ComRes,The Independent,25–26 June,1007,25%,46%,18%,11%,21%,2008,
YouGov,The Daily Telegraph,23–25 June,2163,28%,46%,15%,11%,18%,2008,
,,26 June,Henley by-election,Henley by-election,Henley by-election,Henley by-election,Henley by-election,Henley by-election,2008,
ICM,The Guardian,20–22 June,1000,25%,45%,20%,10%,20%,2008,
BPIX[15],,18–20 June,2385,26%,49%,14%,11%,23%,2008,
Ipsos MORI,,13–15 June,1012,28%,45%,16%,11%,17%,2008,
ComRes,The Independent on Sunday,11–12 June,1012,26%,44%,17%,13%,18%,2008,
YouGov,The Sunday Times,12–13 June,1769,25%,47%,18%,10%,22%,2008,
Populus,The Times,6–8 June,1508,25%,45%,20%,10%,20%,2008,
ICM,The Sunday Telegraph,4–5 June,1023,26%,42%,21%,11%,16%,2008,
ComRes,The Independent,30 May-1 June,1006,30%,44%,16%,10%,14%,2008,
YouGov,The Daily Telegraph,27–29 May,2241,23%,47%,18%,12%,24%,2008,
,,22 May,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,2008,
ICM,The Guardian,16–18 May,1008,27%,41%,22%,10%,14%,2008,
YouGov,The Sunday Times,15–16 May,1854,25%,45%,18%,12%,20%,2008,
ComRes,The Independent on Sunday,14–15 May,1004,26%,43%,19%,12%,17%,2008,
YouGov,The Sun,7–8 May,1571,23%,49%,17%,11%,26%,2008,
Populus,The Times,2–4 May,1509,29%,40%,19%,11%,11%,2008,
,,1 May,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008,
ComRes[permanent dead link],The Independent,25–27 Apr,1005,26%,40%,20%,14%,14%,2008,
ICM,The Sunday Telegraph,23–24 Apr,1010,29%,39%,20%,12%,10%,2008,
YouGov,The Daily Telegraph,21–23 Apr,2073,26%,44%,17%,13%,18%,2008,
Ipsos-MORI,The Observer,17–22 Apr,1059,31%,40%,19%,10%,9%,2008,
ICM/The Gurdian,,18–20 Apr,1000,34%,39%,19%,8%,5%,2008,
Populus,Sunday Mirror,16–17 Apr,1006,30%,40%,19%,11%,10%,2008,
YouGov,The Sunday Times,10–11 Apr,1755,28%,44%,17%,11%,16%,2008,
Populus,The Times,8–10 Apr,1502,33%,39%,17%,6%,6%,2008,
ICM,The Sunday Telegraph,2–3 Apr,1010,32%,43%,18%,7%,11%,2008,
ComRes,The Independent,28–30 Mar,1004,31%,38%,17%,14%,7%,2008,
YouGov,The Daily Telegraph,25–27 Mar,1926,29%,43%,17%,11%,14%,2008,
Ipsos MORI,,13–18 Mar,1983,35%,40%,18%,7%,5%,2008,
ICM,The Guardian,14–16 Mar,1003,29%,42%,21%,8%,13%,2008,
YouGov,The Sunday Times,13–14 Mar,2311,27%,43%,16%,13%,16%,2008,
ICM[permanent dead link],News of the World,12–13 Mar,1002,31%,40%,20%,9%,9%,2008,
Populus,The Times,7–9 Mar,1502,34%,37%,19%,10%,3%,2008,
YouGov,The Daily Telegraph,25–27 Feb,2011,33%,40%,16%,11%,7%,2008,
Ipsos MORI,,21–26 Feb,2063,37%,39%,16%,8%,2%,2008,
ComRes,The Independent,22–24 Feb,1010,30%,41%,17%,12%,11%,2008,
YouGov/The Economist,The Economist,18–20 Feb,2118,34%,40%,16%,11%,6%,2008,
ICM[permanent dead link],The Guardian,15–17 Feb,1003,34%,37%,21%,8%,3%,2008,
YouGov,The Sunday Times,14–15 Feb,2469,32%,41%,16%,11%,9%,2008,
Populus,The Times,1–3 Feb,1504,31%,40%,17%,12%,9%,2008,
ICM[permanent dead link],The Sunday Telegraph,30–31 Jan,1012,32%,37%,21%,10%,5%,2008,
ComRes,The Independent,25–27 Jan,1003,30%,38%,17%,15%,8%,2008,
YouGov,The Daily Telegraph,21–23 Jan,1992,33%,41%,16%,10%,8%,2008,
Ipsos MORI,,17–22 Jan,2045,38%,37%,16%,9%,1%,2008,
ICM,The Guardian,18–20 Jan,1009,35%,37%,20%,8%,2%,2008,
YouGov,The Sunday Times,10–11 Jan,2139,33%,43%,14%,11%,10%,2008,
ICM[permanent dead link],The Sunday Telegraph,9–10 Jan,1011,33%,40%,18%,9%,7%,2008,
Ipsos MORI,The Sun,9–10 Jan,1006,32%,42%,15%,11%,10%,2008,
Populus,The Times,4–6 Jan,1509,33%,37%,19%,11%,4%,2008,
ICM[permanent dead link],The Guardian,18–19 Dec,1034,34%,39%,18%,9%,5%,2007,
YouGov,The Daily Telegraph,17–19 Dec,2060,31%,43%,16%,11%,12%,2007,
,,18 Dec,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,2007,
ComRes[permanent dead link],The Independent,14–16 Dec,1004,30%,41%,16%,12%,11%,2007,
YouGov,The Sunday Times,13–14 Dec,1481,32%,45%,14%,10%,13%,2007,
Populus,The Times,7–9 Dec,1506,32%,40%,16%,11%,8%,2007,
Ipsos MORI,,29 Nov-7 Dec,1859,35%,42%,14%,9%,7%,2007,
ICM[permanent dead link],News of the World,28–29 Nov,1011,30%,41%,19%,10%,11%,2007,
YouGov,The Daily Telegraph,26–29 Nov,4004,32%,43%,14%,11%,11%,2007,
Ipsos MORI,,23–27 Nov,1933,32%,41%,17%,10%,9%,2007,
ComRes[permanent dead link],The Independent,23–25 Nov,1009,27%,41%,18%,15%,13%,2007,
ICM[permanent dead link],The Guardian,21–22 Nov,1005,31%,37%,21%,10%,6%,2007,
YouGov,Channel 4 News,21–22 Nov,1600,32%,41%,14%,13%,9%,2007,
YouGov,The Sunday Times,14–16 Nov,1983,35%,41%,13%,11%,6%,2007,
ICM[permanent dead link],Sunday Express,8–10 Nov,1001,35%,43%,15%,7%,8%,2007,
Populus,The Times,2–4 Nov,1503,37%,36%,16%,11%,1%,2007,
Ipsos MORI,The Sun,31 Oct-1 Nov,1013,35%,40%,13%,12%,5%,2007,
ICM[permanent dead link],The Guardian,26–28 Oct,1011,35%,40%,18%,7%,5%,2007,
ComRes[permanent dead link],The Independent,26–28 Oct,1002,33%,42%,15%,10%,8%,2007,
YouGov,The Daily Telegraph,22–24 Oct,2105,38%,41%,11%,10%,3%,2007,
Ipsos MORI,The Observer,18–23 Oct,1987,41%,40%,13%,6%,1%,2007,
ICM[permanent dead link],The Sunday Telegraph,10–11 Oct,1010,36%,43%,14%,8%,7%,2007,
Ipsos MORI,The Sun,10 Oct,1007,38%,41%,11%,10%,3%,2007,
YouGov,The Sunday Times,5–6 Oct,1757,38%,41%,11%,10%,3%,2007,
Populus,The Times,5–7 Oct,1008,40%,38%,12%,10%,2%,2007,
YouGov,Channel 4 News,3–4 Oct,1741,40%,36%,13%,11%,4%,2007,
ICM,The Guardian,3–4 Oct,1008,38%,38%,16%,8%,Tie,2007,
Populus,The Times,2–3 Oct,1000,39%,36%,15%,10%,3%,2007,
YouGov,The Daily Telegraph,26–28 Sep,2165,43%,32%,15%,10%,11%,2007,
Ipsos MORI,The Observer,27–28 Sep,1000,41%,34%,16%,9%,7%,2007,
Populus,The Times,26–27 Sep,1002,41%,31%,17%,10%,10%,2007,
Ipsos MORI,,20–26 Sep,1964,44%,31%,15%,10%,13%,2007,
YouGov,Channel 4 News,24–25 Sep,1341,44%,33%,13%,11%,11%,2007,
Ipsos MORI,The Sun,20–22 Sep,1009,42%,34%,14%,10%,8%,2007,
YouGov,The Daily Telegraph,19–21 Sep,2085,39%,33%,16%,12%,6%,2007,
ICM,Sunday Mirror,19–20 Sep,1029,39%,33%,19%,9%,6%,2007,
ICM,The Guardian,13–16 Sep,1005,40%,32%,20%,8%,8%,2007,
YouGov,The Sunday Times,13–14 Sep,1942,39%,34%,15%,12%,5%,2007,
ComRes[permanent dead link],The Independent,11–12 Sep,1005,37%,34%,15%,14%,3%,2007,
Populus,The Times,31 Aug-2 Sep,1506,37%,36%,18%,9%,1%,2007,
YouGov,GMTV,29–31 Aug,2154,38%,35%,15%,12%,3%,2007,
ComRes[permanent dead link],The Independent,29–30 Aug,1016,35%,36%,,14%,1%,2007,
Ipsos MORI,The Sun,23–29 Aug,1941,41%,36%,16%,7%,5%,2007,
Populus,Conservative Party,25–28 Aug,530,37%,36%,16%,10%,1%,2007,
YouGov,The Daily Telegraph,24–28 Aug,2266,41%,33%,14%,12%,8%,2007,
ICM,The Guardian,22–23 Aug,1016,39%,34%,18%,9%,5%,2007,
YouGov,The Sunday Times,9–10 Aug,1966,42%,32%,14%,12%,10%,2007,
ICM,Sunday Mirror,8–10 Aug,1007,39%,33%,18%,10%,6%,2007,
Ipsos MORI,The Sun,8–9 Aug,531,38%,33%,15%,14%,5%,2007,
Populus,The Times,27–29 July,1511,39%,33%,15%,13%,6%,2007,
Communicate[permanent dead link],The Independent,27–29 July,1006,37%,34%,16%,14%,3%,2007,
YouGov,The Daily Telegraph,23–25 July,1877,41%,32%,16%,11%,9%,2007,
ICM,The Guardian,20–22 July,1005,38%,32%,20%,10%,6%,2007,
YouGov,The Sunday Times,19–20 July,1664,40%,33%,15%,12%,7%,2007,
Ipsos MORI,The Observer,12–17 July,1919,41%,35%,15%,9%,6%,2007,
ICM,Sunday Mirror,4–5 July,1006,37%,35%,17%,10%,2%,2007,
Populus,The Times,1 July,1504,37%,34%,18%,11%,3%,2007,
YouGov,The Daily Telegraph,28–29 June,1886,38%,35%,15%,12%,3%,2007,
ICM,The Guardian,27–28 June,1005,39%,35%,18%,8%,4%,2007,
,,27 June,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,2007,
Communicate[permanent dead link],The Independent,22–24 June,1005,32%,37%,18%,13%,5%,2007,
Ipsos MORI,The Observer,14–20 June,1970,39%,36%,15%,10%,3%,2007,
YouGov,The Sunday Times,14–15 June,1753,35%,37%,,14%,2%,2007,
Populus,,1–3 June,1503,33%,36%,17%,14%,3%,2007,
ICM,The Sunday Telegraph,30–31 May,1014,32%,37%,21%,10%,5%,2007,
Communicate[permanent dead link],The Independent,25–28 May,1003,31%,35%,19%,15%,4%,2007,
YouGov,The Daily Telegraph,21–23 May,2050,33%,39%,15%,13%,6%,2007,
ICM,The Guardian,18–20 May,1003,32%,34%,21%,12%,2%,2007,
Populus,The Times,11–13 May,1504,33%,37%,17%,13%,4%,2007,
YouGov,The Sunday Times,10–11 May,1962,34%,38%,15%,14%,4%,2007,
,,3 May,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007,
YouGov,The Daily Telegraph,23–25 Apr,2019,32%,37%,18%,14%,5%,2007,
Ipsos MORI,The Observer,19–25 Apr,1163,31%,38%,20%,11%,7%,2007,
ICM,The Guardian,20–22 Apr,1005,30%,37%,21%,12%,7%,2007,
Populus,The Times,13–15 Apr,1503,29%,37%,20%,14%,8%,2007,
YouGov,The Sunday Times,4–5 Apr,2218,31%,39%,16%,14%,8%,2007,
YouGov,The Daily Telegraph,26–28 Mar,2042,32%,39%,17%,13%,7%,2007,
Communicate[permanent dead link],,23–25 Mar,1002,31%,35%,20%,14%,4%,2007,
YouGov,The Daily Telegraph,21–22 Mar,2752,31%,39%,16%,14%,8%,2007,
ICM,The Guardian,16–18 Mar,1011,31%,41%,18%,10%,10%,2007,
YouGov,The Sunday Times,15–16 Mar,1897,32%,38%,16%,14%,6%,2007,
Ipsos MORI,,9–15 Mar,1983,33%,41%,17%,9%,8%,2007,
Populus,The Times,2–4 Mar,1509,30%,38%,18%,14%,8%,2007,
Communicate[permanent dead link],,23–25 Feb,1001,29%,40%,17%,14%,11%,2007,
YouGov,The Daily Telegraph,19–21 Feb,2292,32%,37%,17%,14%,5%,2007,
ICM,The Guardian,16–18 Feb,1000,31%,40%,19%,10%,9%,2007,
YouGov,The Sunday Times,8–9 Feb,2019,32%,37%,18%,14%,5%,2007,
Populus,The Times,2–4 Feb,1509,33%,36%,19%,12%,3%,2007,
Ipsos MORI,,19–29 Jan,949,35%,39%,19%,7%,4%,2007,
Communicate[permanent dead link],,26–28 Jan,1008,29%,34%,21%,16%,5%,2007,
YouGov,The Daily Telegraph,22–24 Jan,2245,31%,38%,18%,13%,7%,2007,
ICM,The Guardian,19–21 Jan,1004,31%,37%,23%,9%,6%,2007,
Populus,The Times,5–7 Jan,1507,32%,39%,18%,11%,7%,2007,
,,20–22 Dec,1918,32%,37%,,15%,5%,2006,YouGov/Sunday Times
,,18–20 Dec,1874,33%,37%,17%,13%,4%,2006,YouGov/Daily Telegraph
,,19–20 Dec,1009,37%,36%,,14%,1%,2006,Communicate
,,15–17 Dec,1006,32%,40%,18%,10%,8%,2006,ICM/The Guardian
,,9–12 Dec,1938,36%,37%,18%,9%,1%,2006,Ipsos MORI
,,8–10 Dec,1513,33%,34%,19%,14%,1%,2006,Populus/The Times
,,28–30 Nov,1979,32%,37%,16%,15%,5%,2006,YouGov/Daily Telegraph
,,29–30 Nov,1006,31%,39%,20%,10%,8%,2006,ICM/News of the World
,,24–26 Nov,1004,36%,34%,17%,12%,2%,2006,Communicate
,,17–19 Nov,1000,32%,37%,22%,9%,5%,2006,ICM/The Guardian
,,9–14 Nov,1115,33%,35%,20%,12%,2%,2006,Ipsos MORI
,,3–5 Nov,1510,33%,36%,20%,11%,3%,2006,Populus/The Times
,,24–26 Oct,1722,32%,39%,16%,13%,7%,2006,YouGov/Daily Telegraph
,,20–22 Oct,977,32%,38%,14%,15%,6%,2006,Communicate
,,20–22 Oct,1019,29%,39%,22%,9%,10%,2006,ICM/The Guardian
,,12–16 Oct,1113,37%,35%,18%,10%,2%,2006,Ipsos MORI/Financial Times
,,6–8 Oct,1515,35%,36%,18%,11%,1%,2006,Populus/The Times
,,4–5 Oct,1005,32%,38%,20%,10%,6%,2006,ICM/Sunday Telegraph
,,28–30 Sep,1029,35%,36%,19%,11%,1%,2006,ICM/Sunday Mirror
,,27–29 Sep,1849,36%,36%,16%,12%,Tie,2006,YouGov/Daily Telegraph
,,21–22 Sep,1546,33%,37%,18%,12%,4%,2006,YouGov/Sunday Times
,,19–22 Sep,1733,31%,38%,18%,13%,7%,2006,YouGov/Daily Telegraph
,,19–20 Sep,1066,32%,36%,22%,10%,4%,2006,ICM/The Guardian
,,13–14 Sep,1003,33%,37%,21%,8%,4%,2006,ICM/Sunday Mirror
,,13–14 Sep,1519,31%,38%,18%,14%,7%,2006,YouGov/The Sun
,,6–7 Sep,1504,32%,40%,17%,11%,8%,2006,YouGov/Daily Telegraph
,,31 Aug – 6 Sep,1186,36%,35%,19%,10%,1%,2006,Ipsos MORI/Sunday Times
,,1–3 Sep,1504,32%,36%,20%,13%,4%,2006,Populus/The Times
,,22–24 Aug,1757,31%,38%,18%,13%,7%,2006,YouGov/Daily Telegraph
,,18–20 Aug,1007,31%,40%,22%,8%,9%,2006,ICM/The Guardian
,,24–26 July,1633,33%,38%,18%,11%,5%,2006,YouGov/Daily Telegraph
,,20–24 July,1897,32%,36%,24%,8%,4%,2006,Ipsos MORI
,,21–23 July,1001,35%,39%,17%,9%,4%,2006,ICM/The Guardian
,,7–9 July,1512,34%,36%,19%,11%,2%,2006,Populus/The Times
,,29 June,By-elections in Blaenau Gwent and Bromley & Chiselhurst,By-elections in Blaenau Gwent and Bromley & Chiselhurst,By-elections in Blaenau Gwent and Bromley & Chiselhurst,By-elections in Blaenau Gwent and Bromley & Chiselhurst,By-elections in Blaenau Gwent and Bromley & Chiselhurst,By-elections in Blaenau Gwent and Bromley & Chiselhurst,2006,By-elections in Blaenau Gwent and Bromley & Chiselhurst
,,28–29 June,1003,35%,36%,18%,11%,1%,2006,ICM/Sunday Telegraph
,,26–28 June,1962,33%,39%,18%,10%,6%,2006,YouGov/Daily Telegraph
,,22–26 June,1931,33%,36%,21%,10%,3%,2006,Ipsos MORI
,,21–23 June,2009,32%,39%,17%,12%,7%,2006,YouGov/Daily Telegraph
,,16–18 June,1005,32%,37%,21%,9%,5%,2006,ICM/The Guardian
,,8–12 June,1975,34%,41%,18%,7%,7%,2006,Ipsos MORI/The Observer
,,2–4 June,1505,34%,37%,18%,11%,3%,2006,Populus/The Times
,,25–30 May,1984,31%,41%,18%,10%,10%,2006,Ipsos MORI
,,23–25 May,2102,32%,38%,16%,14%,6%,2006,YouGov/Daily Telegraph
,,19–21 May,1001,34%,38%,20%,8%,4%,2006,ICM/The Guardian
,,8–9 May,1910,31%,37%,17%,15%,6%,2006,YouGov/Daily Telegraph
,,5–7 May,1516,30%,38%,20%,11%,8%,2006,Populus/The Times
,,4 May,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006,2006 United Kingdom local elections
,,27 Apr-2 May,1078,32%,36%,21%,11%,4%,2006,Ipsos MORI/Financial Times
,,27–28 Apr,1930,32%,35%,18%,15%,3%,2006,YouGov/Sunday Times
,,21–23 Apr,1006,32%,34%,24%,10%,2%,2006,ICM/The Guardian
,,20–22 Apr,1006,30%,30%,25%,15%,Tie,2006,Ipsos MORI/The Sun
,,18–20 Apr,2075,35%,33%,17%,15%,2%,2006,YouGov/Daily Telegraph
,,31 Mar-2 Apr,1503,36%,34%,21%,10%,2%,2006,Populus/The Times
,,27–29 Mar,1873,36%,36%,18%,10%,Tie,2006,YouGov/Daily Telegraph
,,16–21 Mar,1155,39%,34%,19%,8%,5%,2006,Ipsos MORI
,,16–18 Mar,1003,37%,33%,21%,9%,4%,2006,ICM/Sunday Telegraph
,,16–17 Mar,1811,35%,38%,19%,8%,3%,2006,YouGov/Sunday Times
,,10–12 Mar,1006,37%,34%,21%,8%,3%,2006,ICM/The Guardian
,,3–5 Mar,1509,35%,35%,20%,9%,Tie,2006,Populus/The Times
,,2 Mar,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,2006,Sir Menzies Campbell becomes leader of the Liberal Democrats
,,21–22 Feb,2019,36%,38%,18%,9%,2%,2006,YouGov/Daily Telegraph
,,16–20 Feb,1143,38%,35%,20%,7%,3%,2006,Ipsos MORI/The Sun
,,17–19 Feb,1002,34%,37%,21%,8%,3%,2006,ICM/The Guardian[permanent dead link]
,,9–10 Feb,1617,39%,37%,15%,10%,2%,2006,YouGov/Sunday Times
,,9 Feb,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,2006,Dunfermline and West Fife by-election
,,3–5 Feb,1508,36%,37%,18%,9%,1%,2006,Populus/The Times
,,24–26 Jan,2096,40%,39%,13%,9%,1%,2006,YouGov/Daily Telegraph
,,19–23 Jan,1163,38%,40%,17%,5%,2%,2006,Ipsos MORI
,,20–22 Jan,1009,36%,37%,19%,7%,1%,2006,ICM/The Guardian
,,12–17 Jan,541,39%,39%,15%,7%,Tie,2006,Ipsos MORI/The Sun
,,6–8 Jan,1509,39%,36%,16%,9%,3%,2006,Populus/The Times
,,15–18 Dec,1004,36%,37%,21%,7%,1%,2005,ICM/The Guardian
,,13–15 Dec,2071,36%,38%,18%,8%,2%,2005,YouGov/Daily Telegraph
,,9–12 Dec,1000,31%,40%,20%,9%,9%,2005,MORI/The Observer
,,9–11 Dec,1521,38%,35%,19%,8%,3%,2005,Populus/The Times
,,6–8 Dec,2089,36%,37%,18%,8%,1%,2005,YouGov/Sunday Times
,,7–8 Dec,1003,35%,37%,21%,7%,2%,2005,ICM/The Guardian
,,6 Dec,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,2005,David Cameron becomes leader of the Conservative Party
,,5–6 Dec,1612,36%,36%,18%,10%,Tie,2005,YouGov/Sky News
,,22–24 Nov,2616,37%,35%,20%,8%,2%,2005,YouGov/Daily Telegraph
,,17–22 Nov,1089,42%,32%,19%,7%,10%,2005,MORI
,,18–20 Nov,1013,38%,33%,19%,10%,5%,2005,ICM/The Guardian
,,4–6 Nov,1512,40%,32%,19%,9%,8%,2005,Populus/The Times
,,2–3 Nov,1010,39%,33%,21%,7%,6%,2005,ICM/Sunday Telegraph
,,25–27 Oct,1947,40%,32%,19%,9%,8%,2005,YouGov/Daily Telegraph
,,20–25 Oct,1904,40%,34%,21%,5%,6%,2005,MORI
,,19–20 Oct,1007,36%,33%,22%,8%,3%,2005,ICM/The Guardian[permanent dead link]
,,7–9 Oct,1509,40%,30%,21%,9%,10%,2005,Populus/The Times
,,5–6 Oct,1015,38%,32%,22%,8%,5%,2005,ICM/News of the World
,,27–29 Sep,2183,40%,32%,20%,9%,8%,2005,YouGov/Daily Telegraph
,,22–26 Sep,1132,39%,29%,25%,7%,10%,2005,MORI
,,16–17 Sep,1013,40%,31%,21%,8%,9%,2005,ICM/The Guardian
,,8–9 Sep,1856,37%,32%,21%,10%,5%,2005,YouGov/Sunday Times
,,2–4 Sep,1506,37%,35%,20%,8%,2%,2005,Populus/The Times
,,19–24 Aug,–,40%,33%,20%,7%,7%,2005,YouGov/Daily Telegraph
,,11–15 Aug,1191,39%,31%,24%,6%,8%,2005,MORI
,,12–14 Aug,1006,38%,31%,22%,9%,7%,2005,ICM/The Guardian
,,26–28 July,–,40%,31%,21%,8%,9%,2005,YouGov/Daily Telegraph
,,22–24 July,1506,40%,28%,22%,10%,12%,2005,Populus/The Times
,,14–18 July,1227,41%,28%,25%,6%,13%,2005,MORI/The Observer
,,15–17 July,1005,39%,31%,23%,7%,8%,2005,ICM/The Guardian
,,28–30 June,3717,38%,33%,20%,9%,5%,2005,YouGov/Daily Telegraph
,,16–20 June,1227,42%,29%,21%,8%,13%,2005,MORI
,,17–19 June,1005,38%,31%,23%,8%,7%,2005,ICM/The Guardian
,,24–26 May,–,38%,31%,23%,8%,7%,2005,YouGov/Daily Telegraph
