dates,pollster,client,conservative,labour,liberal_democrat,lead,year,social_democratic_party,alliance
12 Aug,ICM,The Guardian,36%,44%,6%,8%,1989,3%,
31 Jul,Audience Selection,,38%,41%,4%,3%,1989,5%,
26 Jul,MORI,The Sunday Times,36%,45%,4%,9%,1989,4%,
20 Jul,Harris,The Observer,37%,44%,6%,7%,1989,3%,
10 Jul,NOP,,36%,42%,7%,6%,1989,2%,
8 Jul,ICM,The Guardian,38%,42%,5%,4%,1989,4%,
7 Jul,Gallup,The Daily Telegraph,34%,44.5%,5.5%,10.5%,1989,4.5%,
3 Jul,Gallup,The Daily Telegraph,34%,47%,6%,13%,1989,3.5%,
3 Jul,Audience Selection,,35%,43%,4%,8%,1989,3%,
27 Jun,MORI,The Sunday Times,37%,47%,4%,10%,1989,3%,
22 Jun,Harris,The Observer,34%,48%,6%,14%,1989,2%,
15 Jun,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,1989,Glasgow Central & Vauxhall by-elections,
15 Jun,1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989,1989 European Parliament election[9],
12 Jun,NOP,,40%,42%,8%,2%,1989,4%,
10 Jun,ICM,The Guardian,38%,42%,8%,4%,1989,4%,
10 Jun,MORI,The Times,39%,44%,7%,5%,1989,4%,
5 Jun,Gallup,The Daily Telegraph,36.5%,43.5%,8%,7%,1989,3%,
29 May,Audience Selection,,41%,45%,6%,4%,1989,4%,
23 May,Harris,The Observer,46%,41%,7%,5%,1989,2%,
22 May,NOP,,42%,41%,8%,1%,1989,3%,
22 May,MORI,The Sunday Times,41%,43%,7%,2%,1989,4%,
17 May,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989,1989 Northern Ireland local elections,
13 May,ICM,The Guardian,43%,43%,8%,Tie,1989,3%,
4 May,Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],1989,Vale of Glamorgan by-election[10],
4 May,1989 local elections[11],1989 local elections[11],1989 local elections[11],1989 local elections[11],1989 local elections[11],1989 local elections[11],1989,1989 local elections[11],
1 May,Gallup,The Daily Telegraph,40.5%,37.5%,10%,3%,1989,7%,
30 Apr,Audience Selection,,42%,38%,7%,4%,1989,9%,
24 Apr,NOP,,43%,37%,9%,6%,1989,4%,
24 Apr,MORI,The Sunday Times,41%,41%,9%,Tie,1989,6%,
20 Apr,Harris,The Observer,42%,39%,11%,3%,1989,4%,
8 Apr,ICM,The Guardian,44%,40%,7%,4%,1989,6%,
3 Apr,Gallup,The Daily Telegraph,37.5%,40%,10%,2.5%,1989,8%,
27 Mar,MORI,The Times,43%,39%,8%,4%,1989,6%,
23 Mar,Harris,The Observer,41%,41%,9%,Tie,1989,3%,
20 Mar,NOP,,42%,37%,0%,5%,1989,–,
19 Mar,MORI,The Sunday Times,41%,40%,9%,1%,1989,6%,
19 Mar,MORI,The Sunday Times,44%,40%,6%,4%,1989,6%,
13 Mar,ICM,The Guardian,41%,39%,8%,2%,1989,7%,
5 Mar,MORI,BBC,41%,37%,9%,4%,1989,4%,
28 Feb,MORI,,42%,41%,8%,1%,1989,4%,
28 Feb,MORI,The Sunday Times,42%,39%,9%,3%,1989,7%,
27 Feb,Audience Selection,,44%,35%,7%,9%,1989,11%,
27 Feb,Gallup,The Daily Telegraph,37.5%,37.5%,11.5%,Tie,1989,8.5%,
23 Feb,Harris,The Observer,41%,42%,10%,1%,1989,3%,
23 Feb,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,1989,Pontypridd & Richmond by-elections,
20 Feb,NOP,,41%,37%,11%,4%,1989,4%,
20 Feb,Gallup,The Sunday Telegraph,39%,39%,11%,Tie,1989,5%,
13 Feb,Gallup,The Daily Telegraph,40.5%,39%,11.5%,1.5%,1989,4.5%,
11 Feb,ICM,The Guardian,42%,39%,7%,3%,1989,7%,
30 Jan,MORI,The Sunday Times,47%,36%,8%,11%,1989,5%,
30 Jan,Audience Selection,,44%,39%,8%,5%,1989,5%,
29 Jan,Harris,BBC,50%,37%,6%,13%,1989,–,
23 Jan,NOP,,46%,34%,10%,12%,1989,3%,
19 Jan,Harris,The Observer,47%,37%,10%,10%,1989,4%,
16 Jan,Gallup,The Daily Telegraph,42.5%,34%,14%,8.5%,1989,5.5%,
16 Jan,ICM,The Guardian,44%,40%,8%,4%,1989,4%,
15 Jan,Harris/Channel 4,,44%,41%,10%,3%,1989,–,
31 Dec,Audience Selection,,45%,37%,8%,8%,1988,6%,
29 Dec,MORI,The Sunday Times,46%,36%,6%,10%,1988,7%,
15 Dec,Epping Forest by-election,Epping Forest by-election,Epping Forest by-election,Epping Forest by-election,Epping Forest by-election,Epping Forest by-election,1988,Epping Forest by-election,
12 Dec,Gallup,The Daily Telegraph,43%,32%,13%,11%,1988,6.5%,
6 Dec,Marplan,The Guardian,45%,39%,8%,6%,1988,4%,
2 Dec,NOP,,41%,36%,11%,5%,1988,4%,
30 Nov,MORI,The Sunday Times,45%,37%,8%,8%,1988,6%,
30 Nov,MORI,,44%,39%,8%,5%,1988,6%,
28 Nov,Audience Selection,,40%,39%,9%,1%,1988,6%,
24 Nov,Harris,The Observer,44%,39%,9%,5%,1988,3%,
14 Nov,Gallup,The Daily Telegraph,42.5%,36%,12.5%,6.5%,1988,4.5%,
10 Nov,Glasgow Govan by-election,Glasgow Govan by-election,Glasgow Govan by-election,Glasgow Govan by-election,Glasgow Govan by-election,Glasgow Govan by-election,1988,Glasgow Govan by-election,
7 Nov,NOP,,45%,36%,10%,9%,1988,4%,
7 Nov,Marplan,The Guardian,42%,42%,8%,Tie,1988,5%,
31 Oct,MORI,The Sunday Times,44%,39%,8%,5%,1988,6%,
31 Oct,Audience Selection,,46%,35%,7%,11%,1988,6%,
24 Oct,Gallup,The Daily Telegraph,45.5%,34%,12.5%,11.5%,1988,5%,
20 Oct,Harris,The Observer,49%,40%,7%,9%,1988,2%,
12 Oct,NOP,,46%,36%,9%,10%,1988,4%,
11 Oct,Marplan,,45%,40%,8%,5%,1988,2%,
11 Oct,Marplan,The Guardian,44%,40%,7%,4%,1988,5%,
10 Oct,MORI,,46%,39%,8%,7%,1988,4%,
29 Sep,Harris,TV-AM,48%,36%,11%,12%,1988,2%,
26 Sep,MORI,The Sunday Times,44%,39%,8%,5%,1988,6%,
22 Sep,Harris,The Observer,47%,38%,8%,9%,1988,5%,
14 Sep,Marplan,The Guardian,44%,42%,9%,2%,1988,3%,
14 Sep,NOP,,46%,38%,8%,8%,1988,3%,
12 Sep,Audience Selection,,42%,40%,8%,2%,1988,6%,
12 Sep,Gallup,The Daily Telegraph,43%,36.5%,12.5%,6.5%,1988,5%,
22 Aug,MORI,The Sunday Times,50%,36%,8%,14%,1988,4%,
15 Aug,Gallup,The Daily Telegraph,45.5%,33.5%,10.5%,12.5%,1988,6.5%,
9 Aug,Marplan,The Guardian,45%,41%,7%,4%,1988,4%,
29 Jul,Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],1988,Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],
25 Jul,NOP,,46%,36%,10%,10%,1988,4%,
25 Jul,MORI,The Sunday Times,46%,41%,8%,5%,1988,4%,
21 Jul,Harris,The Observer,46%,41%,9%,5%,1988,3%,
18 Jul,Gallup,The Daily Telegraph,41.5%,39%,9%,2.5%,1988,7%,
14 Jul,Kensington by-election,Kensington by-election,Kensington by-election,Kensington by-election,Kensington by-election,Kensington by-election,1988,Kensington by-election,
12 Jul,Marplan,The Guardian,45%,43%,6%,2%,1988,4%,
11 Jul,MORI,,48%,38%,7%,10%,1988,5%,
3 Jul,Harris,TV-AM,47%,38%,9%,9%,1988,3%,
28 Jun,MORI,The Sunday Times,48%,38%,7%,10%,1988,5%,
28 Jun,Audience Selection,,45%,38%,8%,7%,1988,5%,
27 Jun,NOP,,49%,34%,10%,15%,1988,4%,
23 Jun,Harris,The Observer,48%,36%,9%,12%,1988,3%,
13 Jun,Gallup,The Daily Telegraph,42%,43%,7%,1%,1988,4%,
11 Jun,MORI,,47%,40%,7%,7%,1988,4%,
7 Jun,Marplan,The Guardian,47%,42%,5%,5%,1988,3%,
4 Jun,Harris,TV-AM,43%,40%,12%,3%,1988,2%,
1 Jun,MORI,The Sunday Times,44%,40%,7%,4%,1988,6%,
29 May,Audience Selection,,40%,43%,6%,3%,1988,8%,
23 May,NOP,,47%,37%,8%,10%,1988,4%,
19 May,Harris,The Observer,44%,41%,10%,3%,1988,2%,
16 May,Gallup,The Daily Telegraph,45%,36%,8.5%,9%,1988,6%,
10 May,Marplan,The Guardian,44%,42%,7%,1%,1988,4%,
5 May,1988 local elections[14],1988 local elections[14],1988 local elections[14],1988 local elections[14],1988 local elections[14],1988 local elections[14],1988,1988 local elections[14],
2 May,Harris,TV-AM,43%,38%,11%,5%,1988,–,
26 Apr,MORI,The Sunday Times,44%,42%,6%,1%,1988,5%,
21 Apr,Harris,The Observer,44%,39%,10%,5%,1988,5%,
18 Apr,Gallup,The Daily Telegraph,40.5%,41.5%,11%,1%,1988,4%,
12 Apr,Marplan,The Guardian,43%,42%,8%,1%,1988,5%,
11 Apr,NOP,,45%,36%,15%,9%,1988,–,
28 Mar,MORI,The Sunday Times,46%,37%,8%,9%,1988,6%,
24 Mar,Harris,The Observer,46%,39%,11%,7%,1988,1%,
21 Mar,Gallup,The Daily Telegraph,42%,36.5%,13%,5.5%,1988,6.5%,
20 Mar,MORI,,46%,39%,6%,7%,1988,7%,
13 Mar,Audience Selection,,45%,40%,11%,5%,1988,–,
8 Mar,Marplan,The Guardian,43%,42%,14%,1%,1988,–,
3 Mar,The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],1988,The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],
3 Mar,Harris,The Observer,47%,36%,12%,11%,1988,2%,
1 Mar,MORI,The Sunday Times,46%,38%,14%,8%,1988,–,
29 Feb,Harris,,44%,43%,12%,1%,1988,–,
15 Feb,Gallup,The Daily Telegraph,46%,36%,15%,10%,1988,–,
14 Feb,Audience Selection,,45%,41%,11%,4%,1988,–,
9 Feb,Marplan,The Guardian,45%,41%,8%,4%,1988,4%,
8 Feb,NOP,,45%,37%,14%,8%,1988,–,
26 Jan,MORI,The Sunday Times,50%,36%,12%,14%,1988,–,
18 Jan,Gallup,The Daily Telegraph,45.5%,37%,15%,7.5%,1988,–,
11 Jan,NOP,,47%,35%,16%,12%,1988,–,
11 Jan,Marplan,The Guardian,42%,40%,17%,2%,1988,–,
30 Dec,MORI,The Sunday Times,48%,36%,,12%,1987,,15%
14 Dec,NOP,,47%,35%,,12%,1987,,15%
8 Dec,Marplan,The Guardian,47%,37%,,10%,1987,,13%
7 Dec,Gallup,The Daily Telegraph,46.5%,34.5%,,12%,1987,,16%
30 Nov,NOP,,49%,34%,,15%,1987,,15%
25 Nov,MORI,The Sunday Times,50%,38%,,12%,1987,,11%
16 Nov,Gallup,The Daily Telegraph,46.5%,33%,,13.5%,1987,,17%
3 Nov,NOP,,45%,36%,,9%,1987,,15%
26 Oct,MORI,The Sunday Times,47%,37%,,10%,1987,,14%
19 Oct,Gallup,The Daily Telegraph,52%,31.5%,,20.5%,1987,,13.5%
19 Oct,MORI,,50%,34%,,16%,1987,,14%
13 Oct,Marplan,The Guardian,45%,39%,,6%,1987,,13%
30 Sep,MORI,The Sunday Times,49%,36%,,13%,1987,,12%
28 Sep,NOP,,50%,34%,,16%,1987,,13%
21 Sep,Gallup,The Sunday Telegraph,48%,35.5%,,12.5%,1987,,14%
20 Sep,Harris,The Observer,47%,35%,,12%,1987,,16%
7 Sep,Gallup,The Daily Telegraph,44%,33%,,11%,1987,,20%
3 Sep,NOP,,49%,33%,,16%,1987,,16%
26 Aug,MORI,The Sunday Times,48%,36%,,12%,1987,,14%
24 Aug,NOP,,48%,33%,,15%,1987,,17%
17 Aug,Gallup,The Daily Telegraph,45.5%,35.5%,,10%,1987,,17.5%
28 Jul,MORI,The Sunday Times,49%,33%,,16%,1987,,17%
16 Jul,Harris,The Observer,48%,33%,,15%,1987,,17%
13 Jul,Gallup,The Daily Telegraph,44.5%,33%,,11.5%,1987,,20.5%
2 Jul,Harris,TV-AM,42%,36%,,6%,1987,,20%
1 Jul,MORI,The Sunday Times,49%,31%,,18%,1987,,17%
29 Jun,NOP,,42%,33%,,9%,1987,,23%
11 Jun,1987 general election,1987 general election,43.3%,31.5%,,11.8%,1987,,23.1%
