dates,pollster_client,sample_size,conservative,labour,liberal_democrat,united_kingdom_independence_party,green,others,lead,year
23–24 Feb,YouGov/The Sunday Times,1697,38%,40%,10%,5%,2%,5%,2%,2012
22–23 Feb,YouGov/The Sun,1690,39%,38%,10%,4%,3%,7%,1%,2012
21–23 Feb,Opinium,1959,35%,39%,10%,6%,5%,6%,4%,2012
21–22 Feb,YouGov/The Sun,1731,38%,40%,8%,5%,3%,7%,2%,2012
20–21 Feb,YouGov/The Sun,1715,37%,41%,9%,5%,2%,6%,4%,2012
19–20 Feb,YouGov/The Sun,1764,39%,38%,10%,5%,2%,6%,1%,2012
17–19 Feb,ICM/The Guardian[permanent dead link][2],1013,36%,37%,14%,3%,3%,7%,1%,2012
16–17 Feb,YouGov/The Sunday Times,1772,37%,41%,7%,6%,3%,6%,4%,2012
15–16 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2014,39%,38%,10%,5%,3%,5%,1%,2012
15–16 Feb,YouGov/The Sun,1738,39%,39%,9%,5%,3%,5%,Tie,2012
14–15 Feb,YouGov/The Sun,1828,39%,40%,9%,5%,2%,5%,1%,2012
13–14 Feb,YouGov/The Sun,1725,40%,39%,9%,5%,3%,5%,1%,2012
12–13 Feb,YouGov/The Sun,1772,38%,42%,9%,4%,2%,5%,4%,2012
10–13 Feb,Opinium,1960,36%,36%,10%,7%,4%,7%,Tie,2012
9–10 Feb,YouGov/The Sunday Times,1753,38%,39%,9%,4%,4%,6%,1%,2012
8–9 Feb,YouGov/The Sun,1644,38%,41%,9%,4%,2%,5%,3%,2012
7–8 Feb,YouGov/The Sun,1763,40%,38%,10%,4%,3%,5%,2%,2012
6–7 Feb,YouGov/The Sun,1651,37%,42%,9%,5%,2%,6%,5%,2012
5–6 Feb,YouGov/The Sun,1697,41%,40%,8%,5%,1%,5%,1%,2012
2–3 Feb,YouGov/The Sunday Times,1659,39%,40%,9%,5%,3%,4%,1%,2012
1–2 Feb,YouGov/The Sun,1654,39%,41%,8%,5%,2%,5%,2%,2012
31 Jan–1 Feb,YouGov/The Sun,1701,38%,40%,8%,5%,3%,5%,2%,2012
30–31 Jan,YouGov/The Sun,1722,39%,40%,9%,4%,2%,6%,1%,2012
29–30 Jan,YouGov/The Sun,1977,40%,38%,10%,5%,2%,5%,2%,2012
27–30 Jan,Opinium,1958,38%,36%,8%,6%,4%,8%,2%,2012
27–29 Jan,ComRes/The Independent[permanent dead link],1001,37%,38%,14%,3%,2%,6%,1%,2012
26–27 Jan,YouGov/The Sunday Times,1716,39%,40%,8%,5%,2%,5%,1%,2012
24–25 Jan,YouGov/The Sun,1715,38%,40%,9%,6%,3%,4%,2%,2012
23–24 Jan,YouGov/The Sun,1693,40%,38%,9%,5%,2%,6%,2%,2012
22–23 Jan,Angus Reid Public Opinion[permanent dead link],2009,35%,37%,11%,6%,3%,7%,2%,2012
22–23 Jan,YouGov/The Sun,1766,39%,40%,8%,6%,2%,4%,1%,2012
21–23 Jan,Ipsos MORI/Reuters,1007,38%,38%,12%,3%,4%,5%,Tie,2012
20–23 Jan,TNS-BMRB[permanent dead link],1300,37%,40%,10%,2%,,11%,3%,2012
20–22 Jan,Populus/The Times[3],1503,37%,38%,13%,2%,2%,8%,1%,2012
20–22 Jan,ICM/The Guardian[permanent dead link][2],1003,40%,35%,16%,2%,2%,5%,5%,2012
19–20 Jan,YouGov/The Sunday Times,1711,41%,36%,9%,5%,3%,6%,5%,2012
18–19 Jan,ComRes/Independent on Sunday[permanent dead link],2050,38%,38%,11%,5%,3%,4%,Tie,2012
18–19 Jan,YouGov/The Sun,1752,41%,38%,8%,6%,2%,5%,3%,2012
17–18 Jan,YouGov/The Sun,1699,40%,39%,7%,5%,2%,6%,1%,2012
15–17 Jan,YouGov/The Sun,1707,39%,40%,8%,4%,2%,6%,1%,2012
15–16 Jan,YouGov/The Sun,1726,40%,40%,9%,5%,2%,4%,Tie,2012
13–15 Jan,Opinium,1983,37%,37%,9%,6%,4%,8%,Tie,2012
12–13 Jan,YouGov/The Sunday Times,1761,38%,40%,9%,5%,2%,7%,2%,2012
11–12 Jan,YouGov/The Sun,1761,41%,40%,8%,4%,2%,4%,1%,2012
10–11 Jan,YouGov/The Sun,1709,40%,38%,10%,4%,2%,6%,2%,2012
9–10 Jan,YouGov/The Sun,1767,40%,40%,10%,4%,2%,4%,Tie,2012
8–9 Jan,YouGov/The Sun,1727,39%,41%,10%,3%,2%,5%,2%,2012
5–6 Jan,YouGov/The Sunday Times,1715,38%,40%,10%,5%,2%,5%,2%,2012
4–5 Jan,YouGov/The Sun,1766,39%,41%,11%,3%,2%,4%,2%,2012
3–5 Jan,Opinium,1963,36%,37%,9%,7%,4%,7%,1%,2012
3–4 Jan,YouGov/The Sun,1772,38%,42%,10%,5%,2%,4%,4%,2012
2–3 Jan,YouGov/The Sun,1762,39%,41%,9%,4%,2%,6%,2%,2012
21–22 Dec,YouGov/The Sun,1721,40%,40%,9%,4%,2%,5%,Tie,2011
20–21 Dec,YouGov/The Sun,1767,40%,40%,10%,4%,3%,5%,Tie,2011
20–21 Dec,ICM/The Guardian,1003,37%,36%,15%,3%,2%,10%,1%,2011
19–20 Dec,YouGov/The Sun,1759,39%,40%,10%,4%,2%,5%,1%,2011
18–19 Dec,YouGov/The Sun,1721,38%,42%,9%,3%,2%,5%,4%,2011
16–19 Dec,TNS-BMRB,1231,35%,38%,11%,3%,,13%,3%,2011
16–18 Dec,Populus/The Times[3],1516,35%,39%,12%,2%,4%,10%,4%,2011
15–16 Dec,YouGov/The Sunday Times,1724,39%,42%,9%,4%,2%,5%,3%,2011
15 Dec,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011 Feltham and Heston by-election.,2011
14–15 Dec,YouGov/The Sun,1744,41%,40%,10%,4%,2%,6%,1%,2011
14–15 Dec,ICM/The Sunday Telegraph,1008,40%,34%,14%,3%,2%,5%,6%,2011
13–14 Dec,YouGov/The Sun,1751,40%,38%,10%,5%,2%,5%,2%,2011
12–13 Dec,YouGov/The Sun,1704,41%,39%,10%,3%,2%,5%,2%,2011
11–12 Dec,YouGov/The Sun,1724,39%,40%,10%,4%,2%,5%,1%,2011
10–12 Dec,Ipsos MORI/Reuters,530,41%,39%,11%,2%,2%,6%,2%,2011
9–11 Dec,ComRes/The Independent,1002,38%,38%,12%,2%,4%,6%,Tie,2011
8–9 Dec,YouGov/The Sunday Times,1698,38%,39%,11%,5%,2%,5%,1%,2011
6–7 Dec,YouGov/The Sun,1757,35%,42%,9%,6%,2%,5%,7%,2011
5–6 Dec,YouGov/The Sun,1686,37%,41%,10%,5%,2%,5%,4%,2011
4–5 Dec,YouGov/The Sun,1699,36%,42%,11%,4%,1%,6%,6%,2011
1–2 Dec,YouGov/The Sunday Times,1702,35%,43%,9%,6%,2%,5%,8%,2011
30 Nov–1 Dec,YouGov/The Sun,1748,36%,41%,11%,4%,2%,6%,5%,2011
29–30 Nov,YouGov/The Sun,1769,37%,42%,9%,6%,2%,5%,5%,2011
29–30 Nov,ICM/The Sunday Telegraph,1005,38%,36%,14%,2%,2%,8%,2%,2011
28–29 Nov,YouGov/The Sun,1742,38%,41%,9%,5%,2%,5%,3%,2011
27–28 Nov,YouGov/The Sun,1723,37%,39%,9%,6%,2%,6%,2%,2011
24–28 Nov,TNS-BMRB,795,35%,38%,9%,5%,4%,9%,3%,2011
25–27 Nov,ComRes/The Independent,1001,37%,39%,10%,3%,3%,7%,2%,2011
24–25 Nov,YouGov/The Sunday Times,1696,34%,43%,11%,5%,2%,5%,9%,2011
23–24 Nov,Angus Reid Public Opinion,2006,33%,42%,8%,7%,3%,7%,9%,2011
23–24 Nov,YouGov/The Sun,1718,35%,40%,9%,8%,2%,5%,5%,2011
22–23 Nov,YouGov/The Sun,1700,35%,40%,11%,6%,2%,6%,5%,2011
21–22 Nov,YouGov/The Sun,1714,35%,42%,9%,6%,2%,6%,7%,2011
20–21 Nov,YouGov/The Sun,1748,36%,40%,9%,7%,3%,6%,4%,2011
19–21 Nov,Ipsos MORI/Reuters,1006,34%,41%,12%,3%,4%,6%,7%,2011
18–21 Nov,Opinium,1963,36%,37%,9%,7%,4%,4%,1%,2011
18–20 Nov,Populus/The Times[3],672,33%,41%,13%,4%,3%,7%,8%,2011
18–20 Nov,ICM/The Guardian[2],1005,36%,38%,14%,4%,4%,4%,2%,2011
17–18 Nov,YouGov/The Sunday Times,1700,36%,40%,9%,7%,2%,6%,4%,2011
16–17 Nov,YouGov/The Sun,1741,34%,40%,11%,7%,2%,6%,6%,2011
15–16 Nov,YouGov/The Sun,1684,36%,41%,10%,6%,2%,5%,5%,2011
14–15 Nov,YouGov/The Sun,1682,36%,42%,7%,5%,3%,7%,6%,2011
13–14 Nov,YouGov/The Sun,1780,37%,40%,9%,6%,2%,5%,3%,2011
10–11 Nov,YouGov/The Sunday Times,1751,36%,41%,9%,5%,2%,6%,5%,2011
9–10 Nov,YouGov/The Sun,1737,35%,42%,8%,7%,2%,6%,7%,2011
8–9 Nov,YouGov/The Sun,1796,36%,40%,10%,7%,2%,5%,4%,2011
7–8 Nov,YouGov/The Sun,1703,35%,40%,10%,6%,3%,6%,5%,2011
6–7 Nov,YouGov/The Sun,1715,36%,41%,9%,6%,1%,6%,5%,2011
4–7 Nov,Opinium,1962,34%,38%,10%,6%,3%,8%,4%,2011
3–4 Nov,YouGov/Sunday Times,1561,35%,41%,9%,5%,2%,7%,6%,2011
2–3 Nov,YouGov/The Sun,1678,36%,41%,8%,7%,2%,5%,5%,2011
1–2 Nov,YouGov/The Sun,1718,37%,41%,8%,6%,2%,5%,4%,2011
31 Oct–1 Nov,YouGov/The Sun,1673,35%,41%,9%,6%,2%,7%,6%,2011
30–31 Oct,YouGov/The Sun,1702,39%,41%,8%,5%,2%,6%,2%,2011
27–31 Oct,TNS-BMRB,1261,36%,37%,11%,4%,,12%,1%,2011
28–30 Oct,ComRes/The Independent,1001,34%,38%,14%,4%,5%,6%,4%,2011
27–28 Oct,YouGov/Sunday Times,1676,36%,39%,8%,7%,2%,6%,3%,2011
26–27 Oct,YouGov/The Sun,1672,35%,42%,9%,6%,3%,5%,7%,2011
25–26 Oct,YouGov/The Sun[permanent dead link],1672,35%,41%,10%,6%,3%,6%,6%,2011
24–25 Oct,YouGov/The Sun,1717,36%,40%,9%,7%,2%,6%,4%,2011
23–24 Oct,YouGov/The Sun,1764,36%,40%,9%,6%,2%,6%,4%,2011
22–24 Oct,Ipsos MORI/Reuters,1002,34%,38%,12%,4%,4%,7%,4%,2011
21–24 Oct,Opinium,1957,33%,39%,9%,8%,4%,7%,6%,2011
21–23 Oct,Angus Reid Public Opinion[permanent dead link],2003,33%,41%,10%,7%,2%,8%,8%,2011
21–23 Oct,ICM/The Guardian[2],1003,35%,39%,13%,3%,3%,7%,4%,2011
20–21 Oct,YouGov/Sunday Times,1727,36%,38%,10%,6%,3%,6%,2%,2011
19–20 Oct,YouGov/The Sun,1675,36%,41%,10%,6%,2%,5%,5%,2011
18–19 Oct,YouGov/The Sun,1739,35%,41%,9%,6%,3%,6%,6%,2011
17–18 Oct,YouGov/The Sun,1638,38%,42%,9%,4%,2%,5%,4%,2011
16–17 Oct,YouGov/The Sun,1629,37%,40%,9%,6%,2%,7%,3%,2011
14–16 Oct,Populus/The Times[3],1511,33%,41%,8%,5%,3%,12%,8%,2011
13–14 Oct,YouGov/Sunday Times,2464,39%,42%,8%,5%,3%,4%,3%,2011
12–13 Oct,YouGov/The Sun,2495,37%,42%,9%,5%,2%,5%,5%,2011
12–13 Oct,ComRes/The Independent on Sunday/Sunday Mirror,2004,37%,39%,10%,6%,3%,6%,2%,2011
11–12 Oct,YouGov/The Sun,2640,36%,42%,9%,6%,2%,6%,6%,2011
10–11 Oct,YouGov/The Sun,2526,37%,41%,8%,6%,3%,5%,4%,2011
9–10 Oct,YouGov/The Sun,2740,36%,40%,11%,5%,2%,6%,4%,2011
7–10 Oct,Opinium,1962,36%,37%,8%,7%,5%,8%,1%,2011
7–9 Oct,YouGov/Sunday Times,2448,38%,42%,9%,5%,2%,4%,4%,2011
5–6 Oct,YouGov/The Sun,2723,37%,41%,10%,5%,2%,4%,4%,2011
4–5 Oct,YouGov/The Sun,2644,37%,41%,9%,5%,2%,5%,4%,2011
3–4 Oct,YouGov/The Sun,2525,38%,42%,9%,5%,2%,5%,4%,2011
2–3 Oct,YouGov/The Sun,2747,37%,42%,9%,5%,2%,5%,5%,2011
29–30 Sep,YouGov/Sunday Times,2333,36%,42%,10%,4%,3%,5%,6%,2011
27–30 Sep,Opinium,1947,33%,40%,9%,6%,4%,8%,7%,2011
28–29 Sep,YouGov/The Sun,2547,38%,41%,9%,5%,2%,5%,3%,2011
27–28 Sep,YouGov/The Sun,2627,37%,43%,9%,5%,2%,5%,6%,2011
26–27 Sep,YouGov/The Sun,2754,37%,43%,8%,5%,2%,6%,6%,2011
25–26 Sep,YouGov/The Sun,2500,39%,41%,8%,5%,2%,5%,2%,2011
23–25 Sep,ComRes/The Independent[permanent dead link],1000,37%,36%,12%,4%,3%,8%,1%,2011
22–23 Sep,YouGov/Sunday Times,2636,36%,42%,11%,4%,2%,5%,6%,2011
21–22 Sep,YouGov/The Sun,2456,36%,42%,10%,5%,2%,5%,6%,2011
20–21 Sep,YouGov/The Sun,2601,35%,41%,9%,5%,3%,6%,6%,2011
20–21 Sep,ICM/The Guardian,1007,37%,38%,14%,3%,2%,7%,1%,2011
19–20 Sep,YouGov/The Sun,2468,36%,41%,10%,5%,2%,6%,5%,2011
18–19 Sep,YouGov/The Sun,2611,36%,42%,10%,4%,2%,6%,6%,2011
15–16 Sep,YouGov/Sunday Times,2474,36%,42%,9%,5%,2%,5%,6%,2011
14–15 Sep,YouGov/The Sun,2731,38%,41%,9%,5%,2%,5%,3%,2011
13–15 Sep,Opinium,1960,33%,36%,9%,8%,4%,9%,3%,2011
13–14 Sep,YouGov/The Sun,2619,37%,41%,10%,6%,2%,6%,4%,2011
12–13 Sep,YouGov/The Sun,2429,35%,43%,10%,5%,3%,4%,8%,2011
11–12 Sep,YouGov/The Sun,2655,37%,41%,10%,4%,2%,6%,4%,2011
10–12 Sep,Ipsos MORI/Reuters,1008,35%,37%,13%,3%,3%,9%,2%,2011
9–11 Sep,Populus/The Times[3],757,34%,38%,12%,5%,3%,9%,4%,2011
8–9 Sep,YouGov/Sunday Times,2724,38%,41%,9%,5%,2%,6%,3%,2011
7–8 Sep,YouGov/The Sun,2627,36%,42%,10%,5%,3%,6%,6%,2011
6–7 Sep,YouGov/The Sun,2554,36%,42%,9%,6%,3%,6%,6%,2011
5–6 Sep,YouGov/The Sun,2552,38%,40%,9%,4%,3%,6%,2%,2011
4–5 Sep,YouGov/The Sun,2796,37%,43%,9%,5%,2%,5%,6%,2011
2–5 Sep,Opinium,1952,36%,37%,9%,7%,4%,7%,1%,2011
2–4 Sep,ComRes/The Independent[permanent dead link],1000,37%,38%,11%,2%,6%,6%,1%,2011
1–2 Sep,Angus Reid Public Opinion[permanent dead link],2005,33%,39%,11%,7%,2%,8%,6%,2011
1–2 Sep,YouGov/The Sunday Times,2696,38%,39%,10%,5%,3%,4%,1%,2011
31 Aug–1 Sep,YouGov/The Sun,2588,36%,42%,10%,5%,3%,4%,6%,2011
30–31 Aug,YouGov/The Sun,2783,37%,42%,10%,4%,2%,5%,5%,2011
29–30 Aug,YouGov/The Sun,2449,39%,40%,10%,4%,2%,6%,1%,2011
25–26 Aug,YouGov/The Sunday Times,2657,38%,41%,9%,5%,2%,6%,3%,2011
24–25 Aug,YouGov/The Sun,2530,37%,42%,9%,4%,2%,4%,5%,2011
23–24 Aug,YouGov/The Sun,2709,36%,43%,9%,4%,3%,5%,7%,2011
22–23 Aug,YouGov/The Sun,2585,37%,44%,9%,4%,2%,4%,7%,2011
21–22 Aug,YouGov/The Sun,2619,35%,44%,9%,5%,2%,5%,9%,2011
20–22 Aug,Ipsos MORI/Reuters,476,34%,40%,15%,3%,5%,4%,6%,2011
19–21 Aug,ICM/The Guardian,1004,37%,36%,17%,2%,1%,7%,1%,2011
18–19 Aug,YouGov/Sunday Times,2464,36%,40%,11%,5%,2%,6%,4%,2011
16–19 Aug,Opinium,1978,37%,38%,9%,6%,4%,7%,1%,2011
17–18 Aug,YouGov/The Sun,2608,36%,44%,9%,5%,2%,4%,8%,2011
17–18 Aug,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2028,38%,40%,11%,5%,2%,6%,2%,2011
16–17 Aug,YouGov/The Sun,2783,35%,44%,9%,5%,2%,5%,9%,2011
15–16 Aug,YouGov/The Sun,2665,36%,42%,10%,5%,2%,5%,6%,2011
14–15 Aug,YouGov/The Sun,2847,35%,43%,9%,5%,2%,4%,8%,2011
11–12 Aug,YouGov/Sunday Times,2656,36%,43%,9%,5%,1%,5%,7%,2011
10–11 Aug,YouGov/The Sun,2075,35%,43%,9%,5%,2%,6%,8%,2011
9–11 Aug,Opinium,1963,34%,38%,9%,8%,4%,7%,4%,2011
9–10 Aug,YouGov/The Sun,2700,36%,43%,9%,5%,2%,6%,7%,2011
8–9 Aug,YouGov/The Sun,2864,36%,43%,9%,5%,2%,5%,7%,2011
7–8 Aug,YouGov/The Sun,2743,36%,44%,9%,4%,2%,6%,8%,2011
4–5 Aug,YouGov/Sunday Times,2425,35%,44%,9%,4%,2%,5%,9%,2011
3–4 Aug,YouGov/The Sun,2748,36%,42%,10%,5%,2%,5%,6%,2011
2–3 Aug,YouGov/The Sun,2657,35%,43%,10%,5%,2%,5%,8%,2011
1–2 Aug,YouGov/The Sun,2776,36%,45%,8%,4%,2%,5%,9%,2011
31 Jul–1 Aug,YouGov/The Sun,2820,35%,42%,11%,5%,2%,6%,7%,2011
28–29 Jul,YouGov/Sunday Times,2529,35%,44%,10%,4%,2%,6%,9%,2011
27–28 Jul,YouGov/The Sun,2699,36%,42%,11%,5%,2%,5%,6%,2011
26–27 Jul,YouGov/The Sun,2733,36%,43%,8%,5%,2%,5%,7%,2011
25–26 Jul,YouGov/The Sun,2615,35%,44%,9%,5%,2%,4%,9%,2011
24–25 Jul,YouGov/The Sun,2783,37%,41%,10%,4%,2%,5%,4%,2011
22–24 Jul,ComRes/The Independent[permanent dead link],1002,34%,40%,13%,4%,4%,6%,6%,2011
21–22 Jul,YouGov/Sunday Times,2749,35%,43%,10%,5%,2%,4%,8%,2011
20–21 Jul,YouGov/The Sun,2684,36%,44%,9%,5%,2%,3%,8%,2011
19–20 Jul,YouGov/The Sun,2853,35%,43%,11%,4%,2%,4%,8%,2011
19–20 Jul,Angus Reid Public Opinion,2002,34%,41%,10%,6%,3%,7%,7%,2011
18–19 Jul,YouGov/The Sun,2696,36%,43%,8%,6%,2%,5%,7%,2011
17–18 Jul,YouGov/The Sun,2810,37%,42%,9%,5%,2%,5%,5%,2011
16–18 Jul,Ipsos MORI/Reuters,1001,32%,39%,11%,4%,5%,9%,7%,2011
15–17 Jul,ICM/The Guardian[2],1003,37%,36%,16%,3%,2%,6%,1%,2011
15–17 Jul,Populus/The Times [3],800,34%,39%,11%,3%,3%,10%,5%,2011
14–15 Jul,YouGov/Sunday Times,2046,36%,42%,11%,4%,2%,5%,6%,2011
13–14 Jul,YouGov/The Sun,2577,36%,43%,9%,4%,2%,5%,7%,2011
13–14 Jul,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2009,36%,40%,10%,5%,3%,6%,4%,2011
12–13 Jul,YouGov/The Sun,2578,35%,43%,10%,5%,2%,5%,8%,2011
11–12 Jul,YouGov/The Sun,2655,37%,42%,9%,4%,2%,6%,5%,2011
10–11 Jul,YouGov/The Sun,2571,35%,43%,10%,5%,2%,5%,8%,2011
7–8 Jul,YouGov/Sunday Times,2741,35%,44%,8%,5%,2%,5%,9%,2011
6–7 Jul,YouGov/The Sun,2759,37%,43%,8%,5%,2%,5%,6%,2011
5–6 Jul,YouGov/The Sun,2839,35%,43%,9%,5%,3%,6%,8%,2011
4–5 Jul,YouGov/The Sun,2738,35%,43%,10%,5%,2%,4%,8%,2011
3–4 Jul,YouGov/The Sun,2864,37%,43%,9%,5%,2%,5%,6%,2011
30 Jun–1 Jul,YouGov/Sunday Times,2785,36%,42%,9%,5%,2%,6%,6%,2011
30 Jun,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011 Inverclyde by-election.,2011
29–30 Jun,YouGov/The Sun,2707,37%,42%,8%,5%,3%,6%,5%,2011
28–29 Jun,YouGov/The Sun,2699,37%,41%,10%,5%,2%,5%,4%,2011
27–28 Jun,YouGov/The Sun,2573,36%,43%,8%,6%,2%,5%,7%,2011
26–27 Jun,YouGov/The Sun,3007,37%,42%,10%,4%,2%,4%,5%,2011
24–26 Jun,ComRes/The Independent[permanent dead link],641,36%,40%,11%,3%,4%,6%,4%,2011
23–24 Jun,YouGov/Sunday Times,2767,36%,43%,9%,4%,2%,6%,7%,2011
22–23 Jun,YouGov/The Sun,2834,37%,42%,9%,5%,2%,5%,5%,2011
21–22 Jun,YouGov/The Sun,2774,36%,42%,9%,5%,3%,6%,6%,2011
20–21 Jun,YouGov/The Sun,2732,37%,42%,8%,5%,2%,5%,5%,2011
19–20 Jun,YouGov/The Sun,2847,37%,43%,9%,5%,2%,4%,6%,2011
17–19 Jun,ICM/The Guardian[2],1000,37%,39%,12%,2%,3%,7%,2%,2011
16–17 Jun,YouGov/Sunday Times,2451,37%,42%,10%,5%,2%,5%,5%,2011
15–16 Jun,YouGov/The Sun,2691,37%,43%,9%,4%,3%,5%,6%,2011
15–16 Jun,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],1457,37%,37%,11%,4%,3%,8%,Tie,2011
14–15 Jun,YouGov/The Sun,2773,36%,42%,9%,5%,3%,5%,6%,2011
13–14 Jun,YouGov/The Sun,2706,37%,42%,10%,4%,2%,5%,5%,2011
12–13 Jun,YouGov/The Sun,2928,37%,42%,10%,4%,2%,4%,5%,2011
10–12 Jun,Populus/The Times[3],1508,39%,40%,9%,3%,3%,6%,1%,2011
9–10 Jun,YouGov/Sunday Times,2728,37%,42%,9%,5%,2%,5%,5%,2011
8–9 Jun,YouGov/The Sun,2861,37%,43%,8%,4%,2%,5%,6%,2011
7–8 Jun,YouGov/The Sun,2693,37%,42%,9%,4%,2%,4%,5%,2011
6–7 Jun,YouGov/The Sun,2704,36%,44%,8%,4%,2%,6%,8%,2011
5–6 Jun,YouGov/The Sun,2667,37%,43%,9%,4%,2%,5%,6%,2011
2–3 Jun,YouGov/Sunday Times,2579,37%,42%,9%,4%,2%,6%,5%,2011
1–2 Jun,YouGov/The Sun,2935,36%,42%,9%,5%,2%,4%,6%,2011
31 May–1 Jun,YouGov/The Sun,2657,39%,41%,9%,5%,2%,5%,2%,2011
30–31 May,YouGov/The Sun,2845,37%,42%,9%,5%,2%,7%,5%,2011
27–29 May,ComRes/The Independent[permanent dead link],607,37%,37%,12%,4%,3%,7%,Tie,2011
26–27 May,YouGov/Sunday Times,2723,37%,43%,9%,5%,2%,5%,6%,2011
25–26 May,YouGov/The Sun,2756,37%,43%,8%,5%,2%,5%,6%,2011
24–25 May,YouGov/The Sun,2795,37%,41%,10%,4%,2%,6%,4%,2011
23–24 May,YouGov/The Sun,2442,38%,42%,9%,4%,2%,5%,4%,2011
20–24 May,Ipsos MORI/Reuters,1008,35%,42%,10%,2%,6%,6%,7%,2011
22–23 May,YouGov/The Sun,2823,38%,42%,10%,4%,2%,4%,4%,2011
19–20 May,YouGov/Sunday Times,2691,37%,42%,8%,4%,3%,5%,5%,2011
18–19 May,YouGov/The Sun,2256,38%,40%,10%,5%,2%,5%,2%,2011
17–18 May,YouGov/The Sun,2064,36%,42%,9%,5%,2%,5%,6%,2011
16–17 May,YouGov/The Sun,2515,39%,41%,9%,4%,2%,5%,2%,2011
15–16 May,YouGov/The Sun,2601,38%,41%,10%,3%,2%,7%,3%,2011
12–13 May,YouGov/The Sunday Times,2286,36%,41%,9%,4%,3%,6%,5%,2011
11–12 May,ComRes/Independent on Sunday & Sunday Mirror[permanent dead link],1460,38%,39%,11%,4%,3%,6%,1%,2011
9–10 May,YouGov/The Sun,2341,38%,40%,9%,6%,2%,4%,2%,2011
8–9 May,YouGov/The Sun,2530,38%,42%,8%,4%,2%,7%,4%,2011
6–9 May,Opinium,1964,35%,38%,9%,7%,4%,8%,3%,2011
6–8 May,Populus/The Times[3],1504,37%,39%,11%,2%,3%,9%,2%,2011
5–6 May,YouGov/Sunday Times,2056,36%,41%,10%,5%,2%,5%,5%,2011
5 May,"2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.","2011 United Kingdom Alternative Vote referendum. Also United Kingdom local elections,[4] Scottish Parliament election, Welsh Assembly election and 2011 Leicester South by-election.",2011
4–5 May,YouGov/The Sun,2087,37%,39%,10%,4%,2%,6%,2%,2011
3–4 May,YouGov/The Sun,5725,36%,40%,11%,6%,2%,6%,4%,2011
2–3 May,YouGov/The Sun,2365,37%,42%,10%,5%,2%,5%,5%,2011
28 Apr–1 May,ComRes/Independent[permanent dead link],606,34%,37%,15%,3%,5%,6%,3%,2011
27–28 Apr,YouGov/The Sun,2070,36%,41%,12%,4%,2%,4%,5%,2011
26–27 Apr,YouGov/The Sun,2666,36%,42%,10%,5%,2%,5%,6%,2011
25–26 Apr,YouGov/The Sun,2617,36%,41%,10%,6%,2%,6%,5%,2011
20–21 Apr,YouGov/The Sun,2629,36%,42%,10%,6%,2%,4%,6%,2011
19–20 Apr,YouGov/The Sun,2346,36%,43%,9%,4%,3%,4%,7%,2011
18–19 Apr,YouGov/The Sun,2431,36%,43%,9%,4%,2%,6%,7%,2011
17–18 Apr,YouGov/The Sun,3637,36%,42%,9%,5%,2%,5%,6%,2011
15–17 Apr,Ipsos MORI/Reuters,1000,40%,40%,9%,3%,3%,5%,Tie,2011
14–15 Apr,YouGov/Sunday Times,2735,37%,41%,9%,5%,2%,5%,4%,2011
13–15 Apr,ComRes/Independent on Sunday & Sunday Mirror[permanent dead link],1533,35%,39%,10%,6%,4%,4%,4%,2011
13–14 Apr,YouGov/The Sun,2555,36%,42%,10%,5%,2%,5%,6%,2011
12–13 Apr,YouGov/The Sun,2813,35%,44%,10%,4%,2%,6%,9%,2011
11–12 Apr,YouGov/The Sun,2258,37%,42%,9%,5%,2%,4%,5%,2011
