dates,pollster_client,sample_size,conservative,labour,united_kingdom_independence_party,liberal_democrat,scottish_national_party,green,others,lead,year
13–14 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2036,35%,30%,16%,8%,5%,4%,1%,5%,2016
11–12 Apr,YouGov/The Times,1639,31%,34%,17%,8%,7%[b],3%,–,3%,2016
29 Mar–1 Apr,Opinium/Observer,1966,33%,32%,17%,5%,6%,4%,2%,1%,2016
24–29 Mar,BMG Research,1298,36%,31%,16%,7%,5%,5%,2%,5%,2016
19–22 Mar,Ipsos MORI,1023,36%,34%,11%,10%,5%,3%,2%,2%,2016
18–20 Mar,ComRes/Daily Mail,1002,37%,35%,9%,7%,5%,4%,2%,2%,2016
16–17 Mar,YouGov/The Times,1691,33%,34%,16%,6%,6%[b],3%,2%,1%,2016
11–13 Mar,ICM/The Guardian,1001,36%,36%,11%,8%,3%,3%,1%,Tie,2016
9–10 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2059,38%,29%,16%,7%,4%,4%,1%,9%,2016
21–23 Feb,YouGov/The Times,3482,37%,30%,16%,8%,6%[b],3%,–,7%,2016
17–23 Feb,BMG Research,1268,38%,30%,16%,5%,5%,5%,2%,8%,2016
19–22 Feb,ComRes/Daily Mail,1000,38%,31%,12%,8%,4%,3%,3%,7%,2016
13–16 Feb,Ipsos MORI,1001,39%,33%,12%,6%,6%,3%,2%,6%,2016
12–14 Feb,ICM/The Guardian,1004,39%,32%,11%,7%,4%,4%,3%,7%,2016
10–12 Feb,"ComRes/Sunday Mirror, Independent on Sunday",2018,41%,27%,15%,9%,5%,3%,1%,14%,2016
3–4 Feb,YouGov/The Times,1675,39%,29%,18%,6%,4%[b],3%,1%,10%,2016
27–28 Jan,YouGov,1735,39%,30%,17%,6%,4%[b],3%,1%,9%,2016
23–25 Jan,Ipsos MORI,1027,40%,31%,11%,7%,5%,4%,1%,9%,2016
22–24 Jan,ComRes/Daily Mail,1006,37%,32%,12%,6%,4%,4%,4%,5%,2016
15–17 Jan,ICM/The Guardian,1001,40%,35%,10%,6%,4%,3%,2%,5%,2016
15–16 Jan,Survation/Mail on Sunday,1017,37%,30%,16%,7%,5%,3%,3%,7%,2016
13–15 Jan,"ComRes/Sunday Mirror, Independent on Sunday",2004,40%,29%,16%,7%,4%,3%,1%,11%,2016
8–14 Jan,Panelbase/Sunday Times,2087,39%,31%,14%,6%,5%,5%,–,8%,2016
18–20 Dec,ICM/The Guardian,1003,39%,34%,10%,7%,4%,3%,3%,5%,2015
17–18 Dec,YouGov/The Times,1598,39%,29%,17%,6%,5%[b],3%,1%,10%,2015
15–18 Dec,Opinium/Observer,1936,38%,30%,16%,5%,6%,5%,2%,8%,2015
12–14 Dec,Ipsos MORI/Evening Standard,1040,38%,31%,9%,9%,5%,6%,2%,7%,2015
11–13 Dec,ComRes/Daily Mail,1001,37%,33%,11%,7%,4%,5%,2%,4%,2015
9–11 Dec,"ComRes/Independent on Sunday, Sunday Mirror",2049,40%,29%,16%,7%,4%,3%,1%,11%,2015
3 Dec,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,2015
30 Nov–1 Dec,YouGov/The Times,1657,41%,30%,16%,6%,4%[b],3%,1%,11%,2015
20–24 Nov,YouGov,4317,38%,29%,17%,6%,5%[b],3%,1%,9%,2015
20–22 Nov,ComRes/Daily Mail,1000,40%,29%,11%,8%,4%,3%,4%,11%,2015
18–20 Nov,"ComRes/Independent on Sunday, Sunday Mirror",2067,42%,27%,15%,7%,5%,3%,1%,15%,2015
16–17 Nov,Survation/Leave.EU[d],1546,37%,30%,16%,6%,5%,3%,3%,7%,2015
14–17 Nov,Ipsos MORI/Evening Standard,1021,41%,34%,7%,7%,6%,4%,-,7%,2015
11–17 Nov,BMG Research,1334,37%,30%,15%,7%,4%,4%,2%,7%,2015
13–15 Nov,ICM/The Guardian,1006,39%,33%,12%,7%,5%,3%,1%,6%,2015
9–11 Nov,Survation/Leave.EU[d],2007,36%,30%,15%,7%,5%,3%,3%,6%,2015
22–27 Oct,BMG Research,1467,37%,31%,15%,6%,4%,5%,2%,6%,2015
23–25 Oct,ComRes/Daily Mail,1002,38%,33%,10%,8%,3%,3%,4%,5%,2015
17–19 Oct,Ipsos MORI/Evening Standard,1021,36%,32%,12%,10%,5%,3%,2%,4%,2015
13–16 Oct,Opinium,1934,37%,32%,15%,5%,6%,4%,2%,5%,2015
14–15 Oct,"ComRes/Independent on Sunday, Sunday Mirror",2051,42%,29%,13%,7%,5%,3%,1%,13%,2015
9–11 Oct,ICM/The Guardian,1002,38%,34%,11%,7%,5%,3%,3%,4%,2015
29–30 Sep,YouGov/The Sun,2064,37%,31%,17%,7%,5%[b],2%,1%,6%,2015
26–28 Sep,ComRes/Daily Mail,1009,39%,30%,12%,9%,4%,4%,3%,9%,2015
21–22 Sep,Survation/Huffington Post,1008,37%,32%,13%,9%,5%,3%,1%,5%,2015
19–22 Sep,Ipsos MORI/Evening Standard,1255,39%,34%,7%,9%,5%,4%,1%,5%,2015
17–18 Sep,YouGov/Sunday Times,1601,39%,31%,16%,6%,5%[b],3%,1%,8%,2015
15–18 Sep,Opinium,1942,37%,32%,14%,6%,5%,4%,1%,5%,2015
16–17 Sep,"ComRes/Independent on Sunday, Sunday Mirror",2015,42%,30%,13%,7%,5%,3%,1%,12%,2015
11–13 Sep,ICM/The Guardian,1006,38%,32%,13%,8%,5%,3%,2%,6%,2015
12 Sep,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,2015
3–4 Sep,Survation/Mail on Sunday,1004,38%,32%,13%,6%,5%,4%,2%,6%,2015
21–23 Aug,ComRes/Daily Mail,1001,42%,28%,9%,8%,5%,6%,3%,14%,2015
12–13 Aug,"ComRes/Independent on Sunday, Sunday Mirror",2035,40%,29%,13%,8%,5%,4%,1%,11%,2015
12–13 Aug,Survation/TSSA,1007,38%,33%,15%,6%,5%,3%,1%,5%,2015
7–9 Aug,ICM/The Guardian,1000,40%,31%,10%,7%,5%,4%,2%,9%,2015
24–26 Jul,ComRes/Daily Mail,1001,40%,28%,10%,7%,5%,5%,4%,12%,2015
18–20 Jul,Ipsos MORI/Evening Standard,1026,37%,31%,9%,10%,5%,8%,1%,6%,2015
16 Jul,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,2015
10–12 Jul,ICM/The Guardian,1005,38%,34%,13%,6%,4%,4%,1%,4%,2015
26–28 Jun,ComRes/Daily Mail,1002,39%,27%,11%,9%,5%,6%,3%,12%,2015
14–16 Jun,Ipsos MORI/Evening Standard,1005,39%,30%,8%,9%,5%,6%,2%,9%,2015
12–14 Jun,ICM/The Guardian,1004,37%,31%,13%,8%,5%,5%,1%,6%,2015
29–31 May,ComRes/Daily Mail,1000,41%,29%,10%,8%,5%,5%,3%,12%,2015
25–26 May,YouGov/The Sun,1709,41%,30%,13%,7%,4%[b],4%,1%,11%,2015
8–9 May,Survation/Mail on Sunday,1027,40%,31%,12%,6%,5%,3%,2%,9%,2015
7 May,General Election results (GB only)[6][7],–,37.8%,31.2%,12.9%,8.1%,4.9%,3.8%,1.4%,6.6%,2015
