pollster_client,dates,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,plaid_cymru,green,brexit_party,united_kingdom_independence_party,change_uk,others,lead,year
Opinium/The Observer,14–16 May,GB,2009,22%,29%,11%,4%,0%,3%,24%,2%,3%,1%,7%,2019
YouGov/The Times,13–14 May,GB,1655,25%,25%,16%,5%,5%,7%,18%,2%,2%,1%,Tie,2019
Ipsos MORI,10–14 May,GB,1072,25%,27%,15%,4%,1%,7%,16%,3%,2%,1%,2%,2019
Hanbury Strategy/Politico,9–13 May,GB,2000,21%,30%,13%,4%,–,5%,19%,2%,6%,1%,9%,2019
Kantar Archived 25 May 2019 at the Wayback Machine,9–13 May,GB,1152,25%,34%,15%,5%,2%,3%,10%,4%,1%,2%,9%,2019
ComRes/The Daily Telegraph,10–12 May,GB,2028,20%,27%,13%,3%,0%,4%,20%,4%,6%,1%,7%,2019
Opinium/The Observer,8–10 May,GB,2004,22%,28%,11%,4%,0%,6%,21%,4%,4%,0%,6%,2019
BMG/The Independent,7–10 May,GB,1541,27%,30%,18%,2%,0%,6%,10%,3%,3%,1%,3%,2019
ComRes/Brexit Express,9 May,GB,2034,19%,27%,14%,3%,1%,5%,20%,3%,7%,1%,8%,2019
YouGov/The Times,8–9 May,GB,2212,24%,24%,16%,5%,5%,7%,18%,2%,2%,1%,Tie,2019
Opinium/People's Vote,3–7 May,GB,2000,25%,30%,11%,3%,1%,5%,17%,4%,2%,1%,5%,2019
,2 May,Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],2019
YouGov,29–30 Apr,GB,1630,29%,29%,13%,4%,4%,5%,15%,2%,3%,1%,Tie,2019
YouGov/The Times,23–24 Apr,GB,1787,27%,30%,11%,5%,5%,5%,14%,4%,3%,1%,3%,2019
Panelbase/The Sunday Times,18–24 Apr,GB,2030,27%,36%,8%,4%,–,3%,13%,5%,4%,1%,9%,2019
Opinium/The Observer Archived 17 May 2019 at the Wayback Machine,21–23 Apr,GB,2004,26%,33%,6%,5%,1%,4%,17%,4%,4%,1%,7%,2019
ORB/The Daily Telegraph,16–17 Apr,UK,1546,26%,29%,8%,4%,1%,4%,14%,5%,5%,4%[c],3%,2019
YouGov/The Times,16–17 Apr,GB,1755,29%,30%,10%,5%,5%,5%,12%,4%,3%,2%,1%,2019
ComRes/Brexit Express,16 Apr,GB,1061,23%,33%,7%,3%,1%,3%,14%,5%,9%,1%,10%,2019
Opinium/The Observer,9–12 Apr,GB,2007,29%,36%,8%,5%,1%,4%,–,11%,–,6%,7%,2019
YouGov/The Times,10–11 Apr,GB,1843,28%,32%,11%,5%,5%,5%,8%,6%,3%,2%,4%,2019
Hanbury Strategy/Open Europe,5–8 Apr,GB,2000,31%,40%,8%,4%,1%,5%,–,8%,–,4%,9%,2019
Kantar Archived 26 June 2019 at the Wayback Machine,4–8 Apr,GB,1172,32%,35%,11%,5%,1%,4%,–,7%,–,6%,3%,2019
Survation,3–8 Apr,E+W,6062,37%,41%,10%,–,1%,2%,–,7%,1%,2%,4%,2019
ComRes/The Daily Telegraph,5–7 Apr,GB,2018,32%,32%,7%,3%,0%,3%,–,9%,9%,3%,Tie,2019
BMG/The Independent,2–5 Apr,GB,1500,29%,31%,8%,3%,1%,4%,6%,7%,8%,1%,2%,2019
BMG/The Independent,2–5 Apr,GB,1500,35%,34%,11%,4%,1%,5%,–,6%,–,3%,1%,2019
,4 Apr,Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],2019
YouGov/The Times,2–3 Apr,GB,1771,32%,31%,12%,6%,6%,4%,5%,7%,–,3%,1%,2019
Deltapoll/The Mail on Sunday,28–30 Mar,GB,1010,32%,35%,7%,2%,1%,2%,6%,6%,9%,1%,3%,2019
Deltapoll/The Mail on Sunday,28–30 Mar,GB,1010,36%,41%,7%,3%,1%,3%,–,7%,–,3%,5%,2019
Opinium/The Observer Archived 16 May 2019 at the Wayback Machine,28–29 Mar,GB,2008,35%,35%,9%,4%,0%,5%,–,9%,–,3%,Tie,2019
YouGov/The Times,24–25 Mar,GB,2110,36%,33%,11%,5%,5%,4%,5%,4%,–,2%,3%,2019
ComRes/Leave Means Leave,22–24 Mar,GB,2030,33%,33%,8%,3%,1%,3%,–,7%,9%,3%,Tie,2019
Opinium/The Observer,20–22 Mar,GB,2002,36%,35%,7%,5%,1%,4%,–,9%,–,3%,1%,2019
ComRes/Daily Express,20–21 Mar,GB,2063,34%,35%,8%,3%,1%,4%,–,7%,6%,3%,1%,2019
Ipsos MORI,15–19 Mar,GB,1050,38%,34%,8%,5%,1%,4%,1%,7%,2%,0%,4%,2019
ComRes/The Daily Telegraph,15–17 Mar,GB,2033,34%,35%,8%,3%,1%,3%,–,6%,7%,3%,1%,2019
Survation/Daily Mail,15 Mar,UK,1007,35%,39%,10%,3%,0%,–,–,–,–,12%,4%,2019
YouGov/People's Vote,14–15 Mar,GB,1823,35%,33%,11%,–,–,–,–,–,–,21%,2%,2019
YouGov/The Times,14–15 Mar,GB,1756,35%,31%,12%,4%,4%,4%,4%,6%,–,2%,4%,2019
Opinium/The Observer,13–15 Mar,GB,2003,35%,35%,7%,5%,0%,4%,–,8%,4%,2%,Tie,2019
Opinium/The Observer,12–15 Mar,GB,2008,38%,34%,8%,5%,1%,3%,–,8%,–,3%,4%,2019
Kantar,7–11 Mar,GB,1152,41%,31%,8%,5%,0%,6%,–,6%,–,2%,10%,2019
BMG/The Independent,4–8 Mar,GB,1510,37%,31%,10%,3%,1%,5%,–,6%,5%,1%,6%,2019
BMG/The Independent,4–8 Mar,GB,1510,39%,34%,12%,3%,1%,4%,–,5%,–,2%,5%,2019
ComRes/Brexit Express,4–5 Mar,GB,2042,36%,34%,8%,3%,0%,3%,–,6%,8%,2%,2%,2019
YouGov/The Times,3–4 Mar,GB,2172,40%,31%,11%,5%,5%,4%,3%,3%,–,3%,9%,2019
Opinium/The Observer,26 Feb–1 Mar,GB,2004,37%,33%,7%,4%,1%,4%,–,7%,5%,2%,4%,2019
Opinium/The Observer,26 Feb–1 Mar,GB,2003,40%,34%,9%,4%,1%,3%,–,7%,–,3%,6%,2019
YouGov/The Times,22–23 Feb,GB,1672,41%,30%,10%,5%,5%,4%,2%,5%,–,3%,11%,2019
YouGov/The Times,22–23 Feb,GB,1672,36%,23%,6%,–,–,–,–,–,18%,16%,13%,2019
Deltapoll/The Mail on Sunday,21–23 Feb,GB,1027,39%,31%,5%,5%,0%,3%,–,4%,11%,1%,8%,2019
Deltapoll/The Mail on Sunday,21–23 Feb,GB,1027,43%,36%,6%,4%,0%,3%,–,5%,–,2%,7%,2019
Opinium/The Observer,20–22 Feb,GB,2008,40%,32%,5%,4%,1%,4%,–,7%,6%,2%,8%,2019
Sky Data,19 Feb,UK,1034,32%,26%,9%,4%,1%,4%,–,6%,10%,7%,6%,2019
YouGov/The Times,18–19 Feb,GB,1861,38%,26%,7%,–,–,–,–,–,14%,15%,12%,2019
YouGov/The Times,18–19 Feb,GB,1861,41%,33%,10%,5%,5%,4%,–,4%,–,3%,8%,2019
Survation/Daily Mail,18 Feb,UK,1023,40%,36%,10%,3%,–,2%,–,5%,–,5%,4%,2019
,18 Feb,"Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their party to form Change UK[16]",2019
Opinium/The Observer,13–15 Feb,GB,2005,37%,37%,8%,4%,0%,4%,–,7%,–,2%,Tie,2019
Kantar,7–11 Feb,GB,1145,40%,35%,10%,4%,1%,4%,–,3%,–,3%,5%,2019
BMG,4–8 Feb,GB,1503,38%,35%,13%,3%,1%,5%,–,5%,–,1%,3%,2019
YouGov/The Times,2–7 Feb,GB,40119,39%,34%,11%,3%,1%,4%,–,5%,–,2%,5%,2019
,5 Feb,The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],2019
Ipsos MORI,1–5 Feb,GB,1005,38%,38%,10%,4%,1%,3%,–,4%,–,3%,Tie,2019
YouGov/The Times,3–4 Feb,GB,1851,41%,34%,10%,4%,0%,4%,–,4%,–,2%,7%,2019
Opinium/The Observer,30 Jan–1 Feb,GB,2008,41%,34%,8%,4%,1%,4%,–,7%,–,1%,7%,2019
Survation/Daily Mail,30 Jan,UK,1029,38%,39%,9%,3%,0%,2%,–,4%,–,4%,1%,2019
Opinium/People's Vote,23–25 Jan,GB,2001,40%,36%,7%,3%,0%,4%,–,7%,–,1%,4%,2019
ICM,16–18 Jan,GB,2046,39%,40%,9%,3%,0%,3%,–,5%,–,1%,1%,2019
Opinium/The Observer,16–18 Jan,GB,2006,37%,40%,7%,5%,1%,4%,–,7%,–,1%,3%,2019
ComRes/Sunday Mirror/Sunday Express,16–17 Jan,GB,2031,38%,37%,10%,3%,1%,3%,–,6%,–,1%,1%,2019
Number Cruncher Politics,10–17 Jan,UK,1030,41%,39%,8%,3%,1%,2%,–,4%,–,1%,2%,2019
ComRes/Daily Express,14–15 Jan,GB,2010,37%,39%,8%,3%,0%,3%,–,7%,–,1%,2%,2019
YouGov/The Times,13–14 Jan,GB,1701,39%,34%,11%,4%,1%,4%,–,6%,–,1%,5%,2019
Kantar,10–14 Jan,GB,1106,35%,38%,9%,4%,1%,4%,–,6%,–,3%,3%,2019
Survation/Daily Mail,10–11 Jan,UK,1013,38%,41%,10%,3%,0%,2%,–,4%,–,3%,3%,2019
BMG/The Independent,8–11 Jan,GB,1514,36%,36%,12%,3%,1%,5%,–,6%,–,1%,Tie,2019
YouGov/The Times,6–7 Jan,GB,1656,41%,35%,11%,4%,0%,3%,–,4%,–,1%,6%,2019
YouGov/People's Vote,21 Dec–4 Jan,UK,25537,40%,34%,10%,4%,0%,4%,–,4%,–,2%,6%,2019
Opinium/The Observer,18–20 Dec,GB,2000,39%,39%,6%,4%,0%,4%,,6%,,1%,Tie,2018
YouGov/The Times,16–17 Dec,GB,1660,41%,39%,7%,5%,5%,3%,,4%,,1%,2%,2018
YouGov/Hope Not Hate,14–15 Dec,GB,1660,38%,35%,10%,6%,6%,5%,,4%,,2%,3%,2018
Opinium/The Observer,13–14 Dec,GB,2016,38%,39%,8%,4%,1%,4%,,6%,,1%,1%,2018
YouGov/People's Vote,12–14 Dec,GB,5043,40%,36%,10%,5%,5%,3%,,4%,,1%,4%,2018
Populus/Best for Britain,10–11 Dec,GB,2002,37%,40%,7%,3%,1%,3%,,6%,,1%,3%,2018
YouGov,9–10 Dec,GB,2008,39%,38%,9%,5%,5%,4%,,5%,,1%,1%,2018
YouGov/The Sunday Times,6–7 Dec,GB,1652,38%,37%,10%,5%,5%,4%,,3%,,1%,1%,2018
BMG/The Independent,4–7 Dec,GB,1508,37%,38%,12%,3%,1%,4%,,4%,,1%,1%,2018
Kantar,5–6 Dec,GB,1178,38%,38%,9%,4%,1%,5%,,5%,,1%,Tie,2018
Ipsos MORI,30 Nov–5 Dec,GB,1049,38%,38%,9%,4%,1%,5%,,4%,,1%,Tie,2018
YouGov/The Times,3–4 Dec,GB,1624,40%,38%,9%,5%,5%,4%,,4%,,1%,2%,2018
ComRes/Daily Express,30 Nov–2 Dec,GB,2035,37%,39%,9%,3%,0%,3%,,6%,,1%,2%,2018
YouGov/The Times,26–27 Nov,GB,1737,40%,35%,10%,4%,4%,3%,,6%,,1%,5%,2018
YouGov/The Times,18–19 Nov,GB,1671,39%,36%,8%,6%,6%,4%,,4%,,1%,3%,2018
ComRes/Sunday Mirror/Sunday Express,14–15 Nov,GB,2000,36%,40%,9%,3%,1%,3%,,7%,,1%,4%,2018
Opinium/The Observer Archived 19 November 2018 at the Wayback Machine,14–15 Nov,GB,2003,36%,39%,7%,5%,1%,3%,,8%,,1%,3%,2018
Kantar,8–12 Nov,GB,1147,40%,39%,8%,4%,1%,3%,,3%,,2%,1%,2018
BMG/The Independent,6–9 Nov,GB,1506,36%,37%,12%,3%,1%,4%,,6%,,1%,1%,2018
Panelbase/Constitutional Commission,2–7 Nov,GB,2016,40%,40%,8%,4%,1%,3%,,5%,,–,Tie,2018
YouGov/The Times,4–5 Nov,GB,1637,41%,37%,8%,4%,4%,4%,,4%,,1%,4%,2018
Survation/Channel 4,20 Oct–2 Nov,UK,20090,39%,40%,8%,3%,–,2%,,3%,,3%,1%,2018
YouGov/The Times,29–30 Oct,GB,1648,41%,39%,7%,4%,4%,2%,,5%,,0%,2%,2018
ICM,26–28 Oct,GB,2048,40%,38%,9%,3%,1%,3%,,5%,,0%,2%,2018
Deltapoll/Daily Mirror,24–26 Oct,GB,1017,43%,40%,6%,4%,0%,2%,,5%,,0%,3%,2018
YouGov/The Times,22–23 Oct,GB,1802,41%,36%,8%,6%,6%,4%,,4%,,1%[d],5%,2018
Ipsos MORI,19–22 Oct,GB,1044,39%,37%,10%,4%,1%,5%,,5%,,0%,2%,2018
YouGov/The Times,14–15 Oct,GB,1649,41%,36%,9%,4%,4%,3%,,4%,,1%,5%,2018
Kantar,11–15 Oct,GB,1128,41%,36%,10%,4%,1%,4%,,3%,,2%,5%,2018
Opinium/The Observer,11–12 Oct,GB,2010,41%,37%,8%,4%,1%,3%,,6%,,1%,4%,2018
Survation,10 Oct,UK,1009,40%,39%,7%,4%,–,–,,6%,,5%,1%,2018
YouGov/The Times,8–9 Oct,GB,1647,41%,37%,9%,5%,5%,3%,,4%,,2%[e],4%,2018
BMG/The Independent,3–5 Oct,GB,1503,38%,39%,10%,4%,1%,4%,,4%,,0%,1%,2018
Opinium/The Observer Archived 7 October 2018 at the Wayback Machine,3–5 Oct,GB,2007,39%,39%,7%,3%,1%,3%,,6%,,1%,Tie,2018
YouGov/The Times,30 Sep–1 Oct,GB,1607,42%,36%,9%,4%,4%,2%,,5%,,2%[d],6%,2018
BMG/HuffPost UK,28–29 Sep,GB,1203,35%,40%,12%,4%,1%,3%,,5%,,1%,5%,2018
,28 Sep,Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],,Adam Price officially becomes leader of Plaid Cymru[18],,Adam Price officially becomes leader of Plaid Cymru[18],Adam Price officially becomes leader of Plaid Cymru[18],2018
Opinium/The Observer,26–28 Sep,GB,2008,39%,36%,9%,4%,0%,3%,,6%,,1%,3%,2018
ComRes/Daily Express,26–27 Sep,GB,2036,39%,40%,9%,3%,1%,2%,,5%,,1%,1%,2018
YouGov/The Times,24–25 Sep,GB,1625,42%,36%,11%,4%,4%,2%,,4%,,0%,6%,2018
ICM/The Guardian,21–24 Sep,GB,2006,41%,40%,9%,3%,0%,3%,,4%,,0%,1%,2018
BMG/HuffPost UK,21–22 Sep,GB,1006,38%,38%,10%,4%,0%,4%,,5%,,0%,Tie,2018
Opinium/The Observer,18–20 Sep,GB,2003,37%,39%,9%,4%,1%,2%,,8%,,1%,2%,2018
YouGov/The Times,18–19 Sep,GB,2509,40%,36%,11%,5%,5%,2%,,5%,,1%,4%,2018
Ipsos MORI,14–18 Sep,GB,1070,39%,37%,13%,3%,0%,5%,,2%,,1%,2%,2018
YouGov/The Times,12–13 Sep,GB,1620,40%,36%,11%,4%,4%,3%,,4%,,1%,4%,2018
Opinium/The Observer,11–13 Sep,GB,2011,39%,38%,7%,4%,1%,3%,,6%,,1%,1%,2018
Kantar,6–10 Sep,GB,1119,40%,35%,10%,4%,0%,4%,,5%,,1%,5%,2018
ICM/The Guardian,7–9 Sep,GB,2051,42%,39%,8%,3%,0%,3%,,4%,,0%,3%,2018
Survation/Daily Mail,7 Sep,UK,1039,38%,37%,10%,3%,1%,1%,,4%,,5%,1%,2018
BMG/The Independent,4–7 Sep,GB,1533,37%,38%,11%,2%,1%,4%,,7%,,1%,1%,2018
,29 Oct,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],2018
YouGov/The Times,3–4 Sep,GB,1883,39%,35%,11%,5%,5%,4%,,5%,,1%,4%,2018
Survation,31 Aug–1 Sep,UK,1017,37%,41%,6%,3%,1%,2%,,7%,,3%,4%,2018
YouGov/The Times,28–29 Aug,GB,1664,39%,37%,10%,4%,4%,3%,,5%,,2%[d],2%,2018
YouGov/The Times,20–21 Aug,GB,1697,40%,37%,9%,5%,5%,2%,,6%,,2%[d],3%,2018
ICM/The Guardian,17–19 Aug,GB,2021,40%,40%,8%,3%,0%,2%,,6%,,1%,Tie,2018
Opinium/The Observer,14–17 Aug,GB,2003,39%,38%,7%,4%,1%,3%,,7%,,1%,1%,2018
Deltapoll/The Sun on Sunday,14–16 Aug,GB,1904,37%,40%,8%,3%,1%,5%,,6%,,1%,3%,2018
YouGov/The Times,13–14 Aug,GB,1660,41%,38%,8%,4%,4%,3%,,6%,,1%,3%,2018
Kantar,9–13 Aug,GB,1119,40%,39%,9%,4%,1%,3%,,4%,,1%,1%,2018
Number Cruncher Politics,9–13 Aug,UK,1036,38%,40%,8%,4%,1%,2%,,5%,,1%,2%,2018
BMG/The Independent,6–10 Aug,GB,1481,37%,39%,10%,3%,0%,5%,,5%,,0%,2%,2018
YouGov/The Times,8–9 Aug,GB,1675,39%,35%,10%,5%,5%,3%,,7%,,1%,4%,2018
ICM/The Guardian,3–5 Aug,GB,2049,39%,40%,7%,4%,0%,3%,,6%,,0%,1%,2018
YouGov/The Times,30–31 Jul,GB,1718,38%,38%,10%,4%,4%,3%,,6%,,1%,Tie,2018
Ipsos MORI,20–24 Jul,GB,1023,38%,38%,10%,4%,1%,3%,,6%,,1%,Tie,2018
YouGov/The Times,22–23 Jul,GB,1650,38%,38%,10%,4%,4%,3%,,6%,,0%,Tie,2018
ICM/The Guardian,20–22 Jul,GB,2010,40%,41%,8%,3%,0%,3%,,5%,,1%,1%,2018
YouGov/The Sunday Times,19–20 Jul,GB,1668,38%,39%,9%,5%,5%,2%,,6%,,1%,1%,2018
YouGov/The Times,16–17 Jul,GB,1657,36%,41%,9%,4%,4%,2%,,7%,,0%,5%,2018
Deltapoll/The Sun on Sunday,12–14 Jul,GB,1484,37%,42%,7%,3%,1%,3%,,6%,,1%,5%,2018
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,10–13 Jul,GB,2005,36%,40%,8%,4%,1%,3%,,8%,,1%,4%,2018
YouGov/The Times,10–11 Jul,GB,1732,37%,39%,10%,4%,4%,3%,,6%,,1%,2%,2018
YouGov/The Times,8–9 Jul,GB,1669,39%,39%,9%,4%,4%,3%,,5%,,1%,Tie,2018
ICM/The Guardian,6–9 Jul,GB,2013,41%,39%,9%,3%,0%,3%,,4%,,1%,2%,2018
Kantar,5–9 Jul,GB,1086,40%,38%,9%,4%,1%,3%,,3%,,2%,2%,2018
Survation/The Mail on Sunday,7 Jul,UK,1007,38%,40%,10%,3%,1%,–,,–,,8%,2%,2018
BMG/The Independent,3–5 Jul,GB,1511,39%,37%,10%,3%,1%,4%,,3%,,1%,2%,2018
YouGov/The Times,3–4 Jul,GB,1641,41%,40%,9%,4%,4%,2%,,3%,,1%,1%,2018
Ipsos MORI,22–27 Jun,GB,1026,41%,38%,7%,4%,1%,4%,,4%,,1%,3%,2018
YouGov/The Times,25–26 Jun,GB,1645,42%,37%,9%,5%,5%,3%,,3%,,1%,5%,2018
ICM/The Guardian,22–24 Jun,GB,2013,41%,40%,9%,3%,1%,3%,,3%,,1%,1%,2018
Survation/Good Morning Britain,19–20 Jun,UK,1022,41%,38%,7%,4%,1%,3%,,3%,,3%,3%,2018
YouGov/The Times,18–19 Jun,GB,1606,42%,40%,9%,4%,4%,2%,,3%,,0%,2%,2018
,14 Jun,Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],,Lewisham East by-election[10],,Lewisham East by-election[10],Lewisham East by-election[10],2018
YouGov/The Times,11–12 Jun,GB,1638,42%,39%,8%,4%,4%,2%,,3%,,1%,3%,2018
ICM/The Guardian,8–10 Jun,GB,2021,42%,40%,8%,3%,0%,3%,,3%,,0%,2%,2018
BMG/The Independent,5–8 Jun,GB,1490,38%,41%,11%,2%,0%,2%,,4%,,1%,3%,2018
Opinium/The Observer,5–7 Jun,GB,2005,42%,40%,7%,6%,1%,2%,,3%,,1%,2%,2018
YouGov/The Times,4–5 Jun,GB,1619,44%,37%,8%,4%,4%,3%,,3%,,0%,7%,2018
Survation,31 May–4 Jun,UK,2012,41%,40%,9%,3%,1%,2%,,2%,,3%,1%,2018
Deltapoll/The Sun on Sunday,30 May–1 Jun,GB,1013,41%,41%,6%,4%,0%,2%,,5%,,1%,Tie,2018
YouGov/The Times,28–29 May,GB,1670,42%,39%,9%,5%,5%,2%,,3%,,1%,3%,2018
ICM/The Guardian,25–29 May,GB,2002,43%,40%,8%,3%,1%,2%,,3%,,1%,3%,2018
Ipsos MORI,18–22 May,GB,1015,40%,40%,7%,5%,0%,5%,,2%,,0%,Tie,2018
YouGov/The Times,20–21 May,GB,1660,42%,38%,9%,4%,4%,3%,,2%,,1%,4%,2018
"ComRes/We, The People",16–17 May,GB,2045,41%,41%,7%,3%,1%,3%,,3%,,1%,Tie,2018
Opinium/The Observer,15–16 May,GB,2009,43%,39%,6%,4%,1%,3%,,4%,,1%,4%,2018
YouGov/The Times,13–14 May,GB,1634,43%,38%,9%,3%,3%,3%,,3%,,1%,5%,2018
ICM/The Guardian,11–13 May,GB,2050,43%,40%,8%,3%,0%,3%,,3%,,1%,3%,2018
Survation,8–10 May,UK,1585,41%,40%,8%,3%,1%,2%,,3%,,2%,1%,2018
YouGov/The Times,8–9 May,GB,1648,43%,38%,9%,4%,4%,2%,,2%,,1%,5%,2018
BMG/The Independent,1–4 May,GB,1441,39%,39%,10%,4%,1%,3%,,4%,,1%,Tie,2018
,3 May,English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],,English local and mayoral elections and West Tyrone by-election[20][10],,English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],2018
YouGov/The Times,30 Apr–1 May,GB,1585,42%,38%,7%,4%,4%,3%,,3%,,1%,4%,2018
ComRes/Daily Express,27–29 Apr,GB,2030,40%,40%,9%,3%,0%,3%,,5%,,1%,Tie,2018
ICM/The Guardian,27–29 Apr,GB,2026,42%,39%,8%,3%,0%,3%,,4%,,1%,3%,2018
YouGov/The Times,24–25 Apr,GB,1668,43%,38%,8%,4%,4%,3%,,3%,,0%,5%,2018
Ipsos MORI,20–24 Apr,GB,1004,41%,40%,10%,3%,1%,2%,,2%,,1%,1%,2018
YouGov/The Times,16–17 Apr,GB,1631,43%,38%,8%,4%,4%,3%,,3%,,1%,5%,2018
Survation/The Mail on Sunday,14 Apr,UK,2060,40%,40%,9%,3%,1%,1%,,3%,,3%,Tie,2018
,14 Apr,Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],,Gerard Batten officially becomes leader of the UK Independence Party[21],,Gerard Batten officially becomes leader of the UK Independence Party[21],Gerard Batten officially becomes leader of the UK Independence Party[21],2018
BMG,11–13 Apr,GB,1500,39%,38%,11%,4%,0%,4%,,3%,,1%,1%,2018
ComRes/Sunday Express,11–12 Apr,GB,2038,40%,41%,7%,3%,1%,2%,,4%,,1%,1%,2018
Opinium/The Observer,10–12 Apr,GB,2008,40%,40%,7%,4%,1%,2%,,5%,,1%,Tie,2018
YouGov/The Times,9–10 Apr,GB,1639,40%,40%,9%,4%,4%,2%,,4%,,1%,Tie,2018
ICM/The Guardian,6–8 Apr,GB,2012,42%,41%,7%,3%,0%,3%,,4%,,0%,1%,2018
YouGov/The Times,4–5 Apr,GB,1662,42%,41%,7%,4%,4%,2%,,4%,,1%,1%,2018
Number Cruncher Politics,27 Mar–5 Apr,UK,1037,43%,38%,8%,4%,1%,3%,,3%,,0%,5%,2018
YouGov/The Times,26–27 Mar,GB,1659,43%,39%,8%,3%,3%,2%,,3%,,1%,4%,2018
ICM/The Guardian,16–18 Mar,GB,2013,44%,41%,8%,3%,1%,2%,,1%,,1%,3%,2018
BMG,13–16 Mar,GB,2065,38%,40%,10%,4%,0%,3%,,4%,,1%,2%,2018
YouGov/The Times,14–15 Mar,GB,1986,42%,39%,7%,5%,5%,3%,,3%,,1%,3%,2018
Opinium/The Observer,13–15 Mar,GB,2001,42%,40%,6%,4%,1%,3%,,4%,,0%,2%,2018
Survation/GMB,7–8 Mar,UK,1038,37%,44%,9%,3%,0%,2%,,3%,,3%,7%,2018
